estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries
21108,0.2496,-1,7,7,13,13,91,56,14,28,0,14,0
12307,0.0234,-1,1,1,3,3,3,3,1,1,1,0,0
11495,0.0803,-1,1,1,16,16,16,16,5,4,6,1,0
12672,0.2025,-1,1,1,44,44,44,43,3,17,16,7,0
11295,0.0602,-1,1,1,12,12,12,12,5,4,1,2,0
11455,0.0637,-1,1,1,13,13,13,13,6,4,1,2,0
0,0.104,-1,21,7,17,17,119,0,0,0,0,0,0
37989,2.8539,-1,378,252,13,13,3276,722,22,260,377,63,0
11300,0.0712,-1,1,1,12,12,12,12,0,5,6,1,0
12426,0.1637,-1,1,1,35,35,35,32,11,6,7,8,0
12139,0.1574,-1,1,1,35,35,35,33,2,7,17,7,0
868,0.074,-1,7,7,9,9,63,7,0,7,0,0,0
12900,0.1852,-1,1,1,42,42,42,40,10,16,6,8,0
12532,0.1352,-1,1,1,35,35,35,32,11,6,7,8,0
44422,0.3154,-1,7,7,17,17,119,119,42,28,42,7,0
11618,0.0791,-1,1,1,16,16,16,16,5,4,6,1,0
21933,0.0684,-1,7,7,3,3,21,21,7,7,7,0,0
11330,0.0448,-1,1,1,9,9,9,9,1,5,1,2,0
11616,0.0676,-1,1,1,13,13,13,13,6,4,1,2,0
10875,0.0234,-1,1,1,5,5,5,5,1,0,2,2,0
11440,0.062,-1,1,1,13,13,13,13,1,5,6,1,0
12182,0.0195,-1,1,1,3,3,3,3,1,1,1,0,0
12219,0.0168,-1,1,1,3,3,3,3,1,1,1,0,0
43247,3.2097,-1,378,252,17,17,4284,782,131,210,378,63,0
11568,0.0835,-1,1,1,16,16,16,16,5,4,6,1,0
12506,0.1498,-1,1,1,35,35,35,35,4,7,17,7,0
51182,0.7545,-1,7,7,44,44,308,262,52,112,42,56,0
11561,0.0692,-1,1,1,13,13,13,13,6,4,1,2,0
0,0.116,-1,7,7,12,12,84,0,0,0,0,0,0
11697,0.066,-1,1,1,13,13,13,13,6,4,1,2,0
62016,5.6089,-1,378,252,17,17,4284,1307,110,320,751,126,0
11394,0.0904,-1,1,1,9,9,9,9,1,5,1,2,0
