estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries
617,2.2157,-1,1,1,3804,300,300,11,7,0,4,0,0
0,0.654,-1,1,1,985,96,96,0,0,0,0,0,0
15579,2.34,-1,1,1,2388,557,557,181,121,34,25,1,0
5508,6.2492,-1,54,36,415,411,14796,109,20,35,54,0,0
53656,8.3116,-1,1,1,8803,1954,1954,826,325,415,86,0,0
0,0.8696,-1,1,1,415,412,412,0,0,0,0,0,0
0,0.3347,-1,3,1,684,0,0,0,0,0,0,0,0
0,3.18,-1,1,1,3804,1108,1108,0,0,0,0,0,0
27930,7.1817,-1,1,1,9015,1803,1803,460,136,238,86,0,0
10031,3.4209,-1,54,36,2713,118,4248,200,4,92,95,9,0
16803,1.3253,-1,1,1,948,308,308,204,35,133,35,1,0
0,1.6261,-1,1,1,3828,0,0,0,0,0,0,0,0
2586,2.5579,-1,1,1,3828,602,602,42,5,33,4,0,0
0,24.9206,-1,1,1,47583,1435,1435,0,0,0,0,0,0
7500,175.6178,-1,66,44,388,387,17028,148,18,57,73,0,0
0,2.067,-1,1,1,2412,104,104,0,0,0,0,0,0
0,2.0688,-1,1,1,2689,161,161,0,0,0,0,0,0
6286,1.2441,-1,1,1,1249,88,88,69,11,49,9,0,0
4931,48.6244,-1,66,44,46688,1311,57684,147,2,12,94,39,0
28479,10.9373,-1,1,1,9027,1815,1815,472,136,249,87,0,0
0,2.8246,-1,1,1,2388,615,615,0,0,0,0,0,0
0,2.3545,-1,66,44,3804,0,0,0,0,0,0,0,0
0,2.3051,-1,54,35,3804,0,0,0,0,0,0,0,0
52088,13.3119,-1,1,1,8697,1958,1958,796,341,368,87,0,0
26694,3.1449,-1,3,3,415,414,1242,372,211,138,23,0,0
46800,14.363,-1,3,3,9244,1636,4908,782,244,357,181,0,0
0,3.8338,-1,1,1,2388,655,655,0,0,0,0,0,0
0,2.8106,-1,1,1,3804,0,0,0,0,0,0,0,0
0,1.8934,-1,3,1,2412,0,0,0,0,0,0,0,0
10365,29.5401,-1,3,3,43822,958,2874,217,17,104,48,48,0
49039,4.396,-1,7,7,3828,258,1806,731,296,414,21,0,0
19423,24.4529,-1,54,36,8818,1409,50724,412,37,122,253,0,0
8014,2.4944,-1,1,1,4129,211,211,80,59,14,6,1,0
11539,1.5185,-1,3,3,415,415,1245,165,102,51,12,0,0
0,1.1438,-1,3,1,2388,0,0,0,0,0,0,0,0
5213,1.2684,-1,1,1,2377,92,92,63,31,28,3,1,0
6745,6.9898,-1,54,36,2388,400,14400,150,6,49,86,9,0
0,0.8713,-1,1,1,415,413,413,0,0,0,0,0,0
7869,2.6562,-1,1,1,3828,419,419,125,31,90,4,0,0
10233,1.4672,-1,1,1,2425,133,133,86,73,0,12,1,0
0,19.8776,-1,1,1,43088,1349,1349,0,0,0,0,0,0
239,3.8517,-1,1,1,8402,38,38,3,3,0,0,0,0
0,2.9608,-1,1,1,3756,562,562,0,0,0,0,0,0
8595,20.2035,-1,1,1,43793,1461,1461,205,7,20,171,7,0
0,17.7523,-1,231,77,2388,565,43505,0,0,0,0,0,0
0,20.2656,-1,1,1,48262,1003,1003,0,0,0,0,0,0
0,2.971,-1,1,1,3804,973,973,0,0,0,0,0,0
4825,1.726,-1,1,1,2388,431,431,62,37,20,4,1,0
2257,0.799,-1,1,1,388,387,387,31,20,9,2,0,0
15346,1.2072,-1,1,1,2377,110,110,83,63,14,3,3,0
0,26.7231,-1,7,7,49023,1494,10458,0,0,0,0,0,0
13298,20.8077,-1,1,1,46477,1390,1390,336,3,41,285,7,0
14141,21.0429,-1,3,3,47914,1391,4173,380,11,5,340,24,0
4164,5.7791,-1,1,1,9322,1029,1029,94,2,31,45,16,0
27732,23.449,-1,3,3,48884,1364,4092,659,25,108,510,16,0
14140,1.1616,-1,1,1,388,388,388,191,128,53,10,0,0
0,0.3801,-1,3,1,937,0,0,0,0,0,0,0,0
37361,87.5494,-1,126,126,8557,824,103824,851,51,183,617,0,0
0,1.3199,-1,1,1,2689,0,0,0,0,0,0,0,0
14112,1.7097,-1,1,1,2641,199,199,123,89,28,5,1,0
0,2.9463,-1,3,1,3804,909,909,0,0,0,0,0,0
27098,6.77,-1,1,1,9132,1841,1841,445,135,234,76,0,0
33622,3.745,-1,3,3,3804,623,1869,495,91,362,40,2,0
0,1.2921,-1,1,1,2713,108,108,0,0,0,0,0,0
15134,1.0746,-1,1,1,388,386,386,204,138,55,11,0,0
