estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries
85608,0.0416,-1,1,1,1,1,1,1,0,0,0,0,1
304153,0.035,-1,7,7,1,1,7,7,0,0,0,0,7
85808,0.0068,-1,1,1,1,1,1,1,0,0,0,0,1
85808,0.0286,-1,1,1,1,1,1,1,0,0,0,0,1
85317,0.0085,-1,1,1,1,1,1,1,0,0,0,0,1
147650,0.0313,-1,7,7,1,1,7,7,0,0,0,0,7
300414,0.0372,-1,21,7,1,1,7,7,0,0,0,0,7
147650,0.0093,-1,7,7,1,1,7,7,0,0,0,0,7
85860,0.0065,-1,1,1,1,1,1,1,0,0,0,0,1
85317,0.0034,-1,1,1,1,1,1,1,0,0,0,0,1
85608,0.0037,-1,1,1,1,1,1,1,0,0,0,0,1
304153,0.011,-1,7,7,1,1,7,7,0,0,0,0,7
85608,0.0032,-1,1,1,1,1,1,1,0,0,0,0,1
85860,0.0033,-1,1,1,1,1,1,1,0,0,0,0,1
85860,0.0031,-1,1,1,1,1,1,1,0,0,0,0,1
85808,0.0032,-1,1,1,1,1,1,1,0,0,0,0,1
85317,0.0032,-1,1,1,1,1,1,1,0,0,0,0,1
85615,0.0059,-1,1,1,1,1,1,1,0,0,0,0,1
85608,0.0032,-1,1,1,1,1,1,1,0,0,0,0,1
85608,0.0031,-1,1,1,1,1,1,1,0,0,0,0,1
85808,0.0031,-1,1,1,1,1,1,1,0,0,0,0,1
147650,0.0087,-1,7,7,1,1,7,7,0,0,0,0,7
85615,0.0031,-1,1,1,1,1,1,1,0,0,0,0,1
85879,0.0059,-1,1,1,1,1,1,1,0,0,0,0,1
85856,0.0063,-1,1,1,1,1,1,1,0,0,0,0,1
85608,0.0032,-1,1,1,1,1,1,1,0,0,0,0,1
85608,0.003,-1,1,1,1,1,1,1,0,0,0,0,1
304153,0.0086,-1,7,7,1,1,7,7,0,0,0,0,7
85860,0.0032,-1,1,1,1,1,1,1,0,0,0,0,1
85317,0.0031,-1,1,1,1,1,1,1,0,0,0,0,1
