estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries
504,0.0263,-1,1,1,1,1,1,1,0,0,0,0,1
0,0.0047,-1,1,0,1,1,0,0,0,0,0,0,0
42949,0.0065,-1,1,1,1,1,1,1,0,0,0,0,1
1926,0.0442,-1,18,9,1,1,9,9,0,0,0,0,9
3859,0.0677,-1,18,18,1,1,18,18,0,0,0,0,18
3967,0.0541,-1,18,18,1,1,18,18,0,0,0,0,18
534,0.0056,-1,1,1,1,1,1,1,0,0,0,0,1
21049,0.0055,-1,1,1,1,1,1,1,0,0,0,0,1
0,0.0034,-1,1,0,1,1,0,0,0,0,0,0,0
504,0.0039,-1,1,1,1,1,1,1,0,0,0,0,1
20923,0.0051,-1,1,1,1,1,1,1,0,0,0,0,1
511,0.0064,-1,1,1,1,1,1,1,0,0,0,0,1
1922,0.0363,-1,18,9,1,1,9,9,0,0,0,0,9
504,0.0039,-1,1,1,1,1,1,1,0,0,0,0,1
0,0.0033,-1,1,0,1,1,0,0,0,0,0,0,0
3953,0.0632,-1,18,18,1,1,18,18,0,0,0,0,18
0,0.0035,-1,1,0,1,1,0,0,0,0,0,0,0
4086,0.0621,-1,18,18,1,1,18,18,0,0,0,0,18
0,0.0032,-1,1,0,1,1,0,0,0,0,0,0,0
0,0.0031,-1,1,0,1,1,0,0,0,0,0,0,0
21314,0.0049,-1,1,1,1,1,1,1,0,0,0,0,1
42863,0.0054,-1,1,1,1,1,1,1,0,0,0,0,1
3993,0.0911,-1,27,27,1,1,27,27,0,0,0,0,27
42949,0.0043,-1,1,1,1,1,1,1,0,0,0,0,1
2355,0.0444,-1,22,11,1,1,11,11,0,0,0,0,11
4890,0.0751,-1,22,22,1,1,22,22,0,0,0,0,22
4735,0.0753,-1,22,22,1,1,22,22,0,0,0,0,22
42908,0.0057,-1,1,1,1,1,1,1,0,0,0,0,1
21262,0.0053,-1,1,1,1,1,1,1,0,0,0,0,1
42949,0.0036,-1,1,1,1,1,1,1,0,0,0,0,1
504,0.0041,-1,1,1,1,1,1,1,0,0,0,0,1
3968,0.0621,-1,18,18,1,1,18,18,0,0,0,0,18
534,0.0042,-1,1,1,1,1,1,1,0,0,0,0,1
42892,0.005,-1,1,1,1,1,1,1,0,0,0,0,1
42949,0.0035,-1,1,1,1,1,1,1,0,0,0,0,1
534,0.0035,-1,1,1,1,1,1,1,0,0,0,0,1
543,0.0049,-1,1,1,1,1,1,1,0,0,0,0,1
0,0.003,-1,1,0,1,1,0,0,0,0,0,0,0
511,0.004,-1,1,1,1,1,1,1,0,0,0,0,1
2313,0.0466,-1,22,11,1,1,11,11,0,0,0,0,11
1980,0.04,-1,18,9,1,1,9,9,0,0,0,0,9
543,0.0042,-1,1,1,1,1,1,1,0,0,0,0,1
3822,0.0964,-1,27,27,1,1,27,27,0,0,0,0,27
21139,0.0054,-1,1,1,1,1,1,1,0,0,0,0,1
548,0.0069,-1,1,1,1,1,1,1,0,0,0,0,1
1880,0.0362,-1,18,9,1,1,9,9,0,0,0,0,9
534,0.0041,-1,1,1,1,1,1,1,0,0,0,0,1
2390,0.0451,-1,22,11,1,1,11,11,0,0,0,0,11
3928,0.0655,-1,18,18,1,1,18,18,0,0,0,0,18
