estimates,runtime,case
43270,58.377,2
42418,57.0281,2
43458,55.4423,2
43596,52.7546,2
43526,60.6164,2
21014,46.8651,2
147609,96.1307,2
21014,43.2377,2
21031,50.2115,2
21112,44.1749,2
43163,60.843,2
21101,37.3269,2
43458,55.6149,2
43289,57.1767,2
43458,56.0725,2
43289,57.34,2
21475,50.3471,2
43438,48.2792,2
1183,64.8945,1
21436,46.6375,2
42887,47.0518,2
43438,46.4477,2
1866,81.9685,1
42761,63.5057,2
43438,48.031,2
43219,57.8946,2
21202,44.4609,2
43289,54.3582,2
1867,93.3725,1
6531,38.0201,1
43438,46.256,2
43289,53.1769,2
148590,92.9751,2
43163,60.5617,2
21337,50.2067,2
1869,81.6428,1
21109,42.988,2
21202,44.3038,2
43163,60.4447,2
43163,59.2457,2
43138,65.3389,2
43526,63.4307,2
21436,47.5018,2
1866,81.3749,1
43526,67.4551,2
21275,47.1604,2
21031,49.7358,2
21109,48.8051,2
21475,51.2922,2
43526,63.2436,2
20646,49.1608,2
43289,59.4063,2
1869,82.9184,1
43438,48.4993,2
1870,73.7574,1
1183,64.8849,1
6531,70.5502,1
42657,57.8179,2
42772,54.8252,2
43596,53.3475,2
43163,61.334,2
1870,75.9865,1
43596,56.2934,2
43270,66.2608,2
42727,53.5767,2
21014,50.2541,2
43219,58.2398,2
43039,53.6787,2
21436,46.1951,2
21014,42.8797,2
21101,37.5443,2
21112,42.6248,2
20646,44.0506,2
21202,45.1154,2
43438,46.6153,2
20646,45.6773,2
43596,59.6252,2
21101,38.9558,2
42671,62.698,2
43163,63.002,2
43163,61.7202,2
43138,62.0509,2
43526,60.5404,2
43039,60.0422,2
43438,47.4352,2
21109,42.4463,2
21014,43.4047,2
42671,65.7706,2
21284,50.3013,2
43270,58.5143,2
43596,57.4264,2
43526,61.9491,2
43270,57.2809,2
21109,43.2524,2
21475,55.7698,2
21275,46.2356,2
21076,38.1537,2
42887,57.4177,2
21031,50.1691,2
42727,48.1497,2
43039,53.8235,2
21202,44.8957,2
42997,61.8915,2
1183,28.7074,1
21475,49.6215,2
21014,45.7599,2
43289,53.3398,2
43526,62.1347,2
43270,54.9147,2
21101,37.4355,2
42758,52.9819,2
1869,82.0418,1
20646,43.7009,2
21275,46.089,2
1870,85.5929,1
42657,54.5256,2
21436,46.4632,2
43289,53.678,2
43438,47.1235,2
20646,45.4682,2
42671,62.0753,2
43526,61.972,2
21275,45.2128,2
43438,46.8697,2
43163,65.9526,2
300010,147.3671,2
43458,58.6538,2
21014,43.5743,2
43289,54.1858,2
21284,54.953,2
42657,64.1883,2
43289,55.0674,2
43270,59.3164,2
1869,94.8095,1
20646,46.6274,2
42887,60.4454,2
21076,38.7494,2
43163,62.3161,2
21284,50.8739,2
43596,53.446,2
43289,58.1047,2
43138,70.4995,2
43596,58.1437,2
43596,57.9124,2
1183,70.196,1
300010,158.4994,2
21337,52.5824,2
21284,51.5363,2
21076,38.8247,2
42758,53.8153,2
42671,63.1471,2
43438,47.4651,2
21014,44.5714,2
21284,55.2724,2
21112,43.6945,2
21275,47.233,2
43458,56.7755,2
43270,59.0306,2
42657,55.2613,2
43458,63.3501,2
43438,49.5937,2
1870,77.7558,1
43438,48.7692,2
21112,43.6645,2
42727,51.7459,2
43138,66.6714,2
21101,40.0749,2
43596,55.4796,2
21284,50.8394,2
21109,43.8618,2
43163,63.122,2
43596,54.0875,2
43289,52.8661,2
43596,54.5978,2
42418,56.8406,2
42418,57.4964,2
21275,45.0005,2
1869,93.1543,1
43458,58.9204,2
21436,46.8019,2
21076,36.3121,2
43163,63.0189,2
43163,62.6109,2
43008,65.5749,2
42887,48.8708,2
43596,54.7842,2
21436,46.6756,2
42887,49.8636,2
43438,48.1522,2
21436,46.9987,2
21112,42.099,2
43039,55.548,2
43163,62.0139,2
43289,55.5194,2
21031,49.9951,2
42761,57.3471,2
42761,60.4088,2
43270,61.952,2
43458,59.5185,2
43270,61.3884,2
