estimates,runtime,case
6759,82.3523,1
6759,58.8969,1
43039,75.1025,2
6759,43.1568,1
6759,58.1621,1
6759,53.3866,1
6759,79.5679,1
21076,52.3021,2
6759,52.6988,1
6759,77.2704,1
21101,53.4244,2
6759,70.8167,1
6759,52.3546,1
6759,77.9342,1
6759,62.1231,1
6759,48.0028,1
6759,62.047,1
6759,54.7103,1
6759,61.1749,1
6759,56.1018,1
21112,63.5746,2
42671,82.9363,2
6759,54.4176,1
43039,76.4842,2
6759,47.2862,1
6759,54.3042,1
6759,51.5817,1
42887,76.602,2
21109,55.9429,2
43039,80.5077,2
6759,77.6884,1
6759,60.8238,1
6759,81.2742,1
42758,80.7315,2
43039,75.6295,2
6759,78.7122,1
6759,71.2626,1
6759,61.9255,1
6759,71.8858,1
6759,45.4744,1
6759,40.7616,1
6759,70.629,1
6759,47.59,1
21014,56.1371,2
6759,74.5387,1
6759,45.8803,1
6759,80.0506,1
6759,51.5126,1
6759,61.2689,1
21107,57.8505,2
6759,56.7894,1
6759,59.5932,1
6759,79.4463,1
6759,59.5612,1
43039,72.4195,2
6759,63.832,1
6759,45.1842,1
6759,53.5318,1
20646,58.6092,2
21101,51.8318,2
6759,53.0189,1
6759,59.8456,1
6759,53.7999,1
6759,54.3133,1
6759,62.0947,1
6759,58.75,1
6759,73.1314,1
6759,62.307,1
6759,83.4858,1
42761,78.9464,2
6759,73.0932,1
43039,74.942,2
6759,56.7914,1
21031,69.7858,2
6759,58.2972,1
6759,65.8022,1
42887,80.2054,2
21112,56.3531,2
6759,54.5655,1
21014,58.6572,2
21076,55.2983,2
6759,51.0746,1
6759,49.6121,1
6759,54.8844,1
6759,56.6406,1
6759,54.9811,1
21014,55.5451,2
21101,50.9472,2
6759,43.4766,1
42887,69.5994,2
42758,74.7856,2
6759,53.2329,1
6759,60.0262,1
6759,46.4267,1
43039,79.814,2
6759,47.4155,1
6759,71.0488,1
6759,56.1276,1
6759,54.3377,1
6759,70.8625,1
43008,82.2465,2
6759,52.1798,1
42887,80.9353,2
6759,41.8354,1
6759,47.9011,1
6759,71.2515,1
21475,66.2436,2
6759,73.694,1
6759,50.5953,1
6759,50.1526,1
6759,70.6812,1
6759,46.0652,1
6759,50.9338,1
6759,57.6897,1
6759,75.7161,1
6759,71.7611,1
6759,54.3104,1
6759,56.9648,1
6759,77.1934,1
6759,45.9406,1
21109,57.358,2
21109,56.2726,2
42887,69.3817,2
42671,85.6645,2
6759,44.9434,1
6759,43.6581,1
6759,53.3121,1
6759,46.8641,1
6759,56.0069,1
6759,54.7677,1
6759,82.1621,1
42887,70.9028,2
6759,53.365,1
6759,54.0708,1
6759,53.4176,1
6759,54.8644,1
21101,50.8852,2
6759,69.4787,1
6759,55.0554,1
6759,84.9203,1
6759,53.013,1
21202,61.857,2
6759,73.3733,1
6759,49.793,1
6759,51.5493,1
6759,53.0192,1
6759,71.9741,1
6759,45.3773,1
42761,80.5357,2
6759,43.0303,1
21107,56.8357,2
21112,55.0015,2
6759,68.1141,1
6759,55.2137,1
6759,48.3391,1
21014,60.6224,2
6759,64.8643,1
6759,45.5924,1
42758,74.9998,2
6759,43.6284,1
42671,82.9298,2
6759,55.9668,1
6759,53.4758,1
6759,57.5046,1
6759,64.69,1
42671,83.7542,2
6759,58.7595,1
42758,75.2692,2
6759,67.9345,1
6759,51.303,1
6759,51.8686,1
6759,55.8925,1
6759,70.4019,1
6759,73.4294,1
6759,50.7798,1
42761,82.609,2
42887,71.707,2
21337,64.9948,2
6759,45.3343,1
42887,74.0371,2
6759,77.9483,1
6759,72.2548,1
6759,46.0744,1
6759,54.599,1
6759,39.5586,1
6759,53.1677,1
21014,57.2642,2
6759,48.8443,1
21436,60.6408,2
6759,70.2632,1
42887,70.0595,2
6759,47.4459,1
6759,53.4281,1
6759,40.9516,1
6759,52.1034,1
6759,55.5958,1
6759,57.8972,1
6759,58.6213,1
6759,61.1852,1
6759,78.6926,1
