estimates,runtime,case
107663,1752.9912,2
115168,2963.5832,2
97770,3632.7759,2
179660,2771.8946,2
90187,3586.4732,2
152991,3282.998,2
99496,1901.7925,2
107610,2488.669,2
193695,2403.516,2
198701,2368.8757,2
140152,3675.6779,2
97238,2209.0496,2
138354,3530.8628,2
57096,3443.8223,2
98257,2890.6089,2
104265,2720.0154,2
95711,2586.7359,2
61225,3216.6449,2
106424,2445.5262,2
247180,2881.6857,2
97851,3834.342,2
158942,3323.2004,2
176662,3374.2496,2
105836,4014.0055,2
121710,2536.8448,2
131926,4172.7335,2
170819,3011.454,2
136273,2403.8633,2
141387,4032.899,2
92061,2138.8386,2
106138,3090.0727,2
57881,2011.0976,2
34448,2232.9135,2
84254,2848.0916,2
108538,1780.7785,2
159455,3801.6954,2
98335,3957.339,2
195182,2446.1786,2
131065,3623.9333,2
137330,1989.4526,2
143291,3268.2187,2
101393,2036.461,2
143163,2410.8676,2
47728,2756.5561,2
108613,2855.7168,2
184762,3294.7449,2
180229,2412.5237,2
138980,2014.5379,2
123045,3250.8141,2
255793,2658.5654,2
75655,3803.064,2
281570,2643.2045,2
160447,3649.8521,2
151385,3749.8955,2
154922,3835.7363,2
229587,3360.3058,2
82032,2490.392,2
123751,3041.2195,2
110702,2818.7212,2
126158,3142.0499,2
203293,4200.6166,2
228989,2848.1503,2
161008,2175.6044,2
172536,3126.869,2
95570,2726.1962,2
88618,2182.1016,2
113525,3945.4472,2
149895,3243.4029,2
78284,1659.4488,2
94132,4118.2792,2
146609,2384.7354,2
61172,3195.1622,2
298099,2915.2561,2
170541,2913.7959,2
119397,3337.3039,2
162206,3825.0602,2
216445,3447.624,2
168156,2361.5755,2
159360,3733.389,2
321668,3085.2755,2
123258,3538.4975,2
116031,3300.3413,2
118367,2814.6116,2
118656,4023.282,2
103379,4019.6283,2
306148,3154.5911,2
99638,4309.6495,2
255543,3394.9718,2
113138,4427.3844,2
204472,4269.8083,2
214605,2541.932,2
79019,2588.7778,2
236829,2814.4999,2
293453,3515.5762,2
169249,3971.8891,2
118956,2762.601,2
210605,3372.5328,2
126338,2713.3557,2
252816,2959.2593,2
65357,2615.7849,2
70497,3606.4809,2
145315,3722.1154,2
146200,3219.2377,2
233746,2362.2355,2
249800,2643.9345,2
161577,2277.7529,2
167850,4075.4162,2
329406,3010.4581,2
140610,4022.8663,2
270205,2632.2183,2
121252,2456.257,2
163521,3859.6694,2
107240,3048.0458,2
139030,3637.6133,2
224802,3686.9241,2
167273,3661.7678,2
98249,1836.5785,2
123107,4392.7963,2
163415,3208.8849,2
139654,3364.3147,2
144712,3381.9043,2
115789,3240.7996,2
116806,2576.0654,2
86924,3144.9343,2
113100,3565.2323,2
178465,3460.2144,2
326578,3245.0894,2
98283,1594.3239,2
220593,3148.6173,2
148179,2426.8708,2
177778,2899.7453,2
172831,2927.5293,2
71895,1706.2159,2
160183,3200.8181,2
140256,3477.846,2
96358,3428.5691,2
107284,3044.6741,2
178332,3880.231,2
53703,2664.3458,2
140182,3754.2749,2
112610,3193.3089,2
128289,3232.7442,2
103043,2272.275,2
150785,3959.8669,2
93534,2687.6681,2
79282,1762.8813,2
256940,2755.7694,2
186752,2545.6651,2
77137,3030.354,2
93728,3910.1056,2
155661,2099.9611,2
77690,3908.2,2
122069,3008.2647,2
137975,2976.1105,2
118914,2842.981,2
194208,3128.7704,2
128231,4426.0541,2
156867,3351.7314,2
115233,3046.742,2
273617,2934.2176,2
118891,2510.7882,2
74042,2369.6008,2
137649,4792.876,2
143673,4353.0509,2
225007,2446.1106,2
58572,3155.1553,2
164632,3753.6387,2
83718,3535.5536,2
103121,2185.3385,2
62798,2842.4469,2
160214,3896.562,2
122113,2238.1956,2
170705,2612.7048,2
80709,2412.9328,2
190899,2993.2419,2
172891,2894.1286,2
168416,2430.5532,2
81600,1693.0911,2
104696,3085.9471,2
143164,3699.6973,2
153453,3490.9012,2
185126,3614.3968,2
112794,3240.987,2
93501,2575.9513,2
80637,2638.5798,2
124262,2316.5787,2
100374,3628.3482,2
91291,2693.2907,2
76338,2205.8516,2
91966,3953.3371,2
75903,2495.8303,2
103085,2948.7071,2
184119,3125.5747,2
174494,2720.9212,2
142598,3364.8907,2
118809,2821.6634,2
104490,1641.2796,2
207217,2522.0287,2
87151,2587.7838,2
209344,2450.6203,2
