estimates,runtime,case
61290,5075.0727,2
28691,4626.9531,2
94325,5680.6869,2
34383,4305.4292,2
70648,5585.5182,2
29299,4351.8542,2
62347,6036.1337,2
75691,6128.5346,2
61775,5904.2301,2
56522,4354.6107,2
52494,5656.3036,2
44564,5455.6597,2
26074,4347.1771,2
30345,3749.7522,2
60931,5172.6431,2
51984,5305.5884,2
63795,5363.4525,2
52735,4958.009,2
84872,6147.0135,2
30140,4371.3429,2
83109,5610.4653,2
46514,5119.3703,2
41532,4371.6577,2
68417,7004.6457,2
74279,6250.6371,2
31499,4838.7702,2
54553,5409.6234,2
51526,3998.253,2
75408,5076.3131,2
59803,4634.9293,2
29426,3900.9762,2
47744,4688.8895,2
62906,4957.6068,2
54806,5035.2744,2
57103,6242.5548,2
69468,5401.6549,2
37206,4671.4738,2
66939,5833.8686,2
37104,4704.8728,2
33621,4405.9406,2
61451,4816.5372,2
74301,5327.0823,2
35329,4825.8061,2
61090,4838.8138,2
63102,5581.2925,2
60646,4895.0911,2
48758,5162.5429,2
25231,4203.0236,2
88299,5995.5607,2
94817,6818.4136,2
32300,4235.2736,2
60406,5875.304,2
57208,5631.7726,2
46161,4929.3774,2
30072,4560.2531,2
69025,5555.8426,2
51323,5054.8679,2
42368,4609.0456,2
59564,5507.6337,2
50048,5167.7821,2
40706,4413.3487,2
36534,4645.7726,2
39478,5324.9773,2
35244,4358.5509,2
83478,5714.3308,2
57428,5479.7721,2
33681,4100.720899,2
78773,5683.026399,2
40641,4743.326899,2
62146,5682.1961,2
62059,5008.712001,2
58000,4999.749599,2
37706,4520.6691,2
47330,5562.5358,2
47859,7139.4668,2
31632,3664.745701,2
78184,5474.7978,2
74028,4416.1421,2
77071,6097.345199,2
30524,4274.591399,2
60713,4542.891299,2
56091,4267.926899,2
38186,4325.549599,2
77718,4931.6894,2
70172,5389.778501,2
35540,4637.5222,2
65329,5111.487399,2
79143,5960.233,2
53412,5175.954601,2
57287,4734.8671,2
97947,5752.881501,2
62443,4966.297801,2
80522,6455.502799,2
61424,4940.3448,2
74696,5663.9026,2
55144,5204.7353,2
30150,5423.186101,2
41420,4408.568099,2
77778,5868.986399,2
89162,6083.5338,2
49293,4691.1311,2
48454,5031.293301,2
24194,4025.7776,2
31564,4650.567499,2
49846,5159.6743,2
38919,4043.4401,2
42948,4596.105901,2
74752,5659.770899,2
38117,4776.9199,2
44068,4883.1311,2
60446,4792.4135,2
77121,5783.3452,2
53751,4189.4916,2
62700,6036.4851,2
33332,4443.0355,2
52406,5409.921299,2
50744,5898.673899,2
55145,5080.7985,2
51782,4734.2059,2
78337,5604.734499,2
71466,5654.0208,2
48785,4891.2137,2
40114,4973.3085,2
144101,6455.669201,2
38983,6395.830901,2
53194,5217.558001,2
35047,3945.0102,2
74718,5385.6904,2
44932,4439.262701,2
85946,5725.3528,2
103066,5474.7594,2
87265,6124.270399,2
39133,4960.8024,2
24103,3602.4841,2
52283,4232.9379,2
41434,3979.6149,2
61947,5956.0399,2
48699,5379.413201,2
58981,5229.549001,2
70685,5398.717101,2
88169,5950.3695,2
73883,5051.731601,2
33353,4194.5636,2
45165,4508.0078,2
84594,4820.813601,2
49616,5628.3634,2
59869,5313.766401,2
21646,3644.624899,2
64294,5423.2184,2
41747,4903.183901,2
64916,5865.4,2
37591,4989.0666,2
62355,5239.424801,2
52633,4840.7167,2
51467,5206.162601,2
48724,4960.6092,2
70007,5270.5959,2
58035,5491.5061,2
38021,4869.4808,2
43831,4903.2698,2
47124,4888.1544,2
54708,5436.4285,2
68389,4347.415,2
52295,5382.4231,2
33407,4104.8817,2
43577,5106.785101,2
26590,3906.012301,2
91530,5819.936601,2
32781,4455.5241,2
46302,5120.8874,2
69926,6058.477,2
50550,7662.4719,2
86728,7214.4076,2
69576,5949.6949,2
62622,5747.0743,2
66896,4796.8133,2
72478,5400.2824,2
68940,5857.653399,2
44278,4186.845,2
46029,4893.383,2
51470,5114.0397,2
68170,5135.3335,2
59109,5240.4112,2
35469,4464.6865,2
139701,5780.4295,2
86380,5792.285701,2
63743,4751.6791,2
55945,4856.0058,2
38027,4614.7498,2
67087,5101.680899,2
72726,4573.2345,2
71441,5231.467399,2
69578,5401.5126,2
81769,5707.1944,2
67842,5920.8805,2
40164,4770.6296,2
57664,5672.4827,2
59787,5566.009701,2
31756,4313.116201,2
86218,5153.5543,2
