estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries
384823,0.1401,-1,1,1,19,19,19,19,3,3,6,6,1
385095,0.0903,-1,1,1,17,17,17,17,6,2,6,1,2
385137,0.07,-1,1,1,19,19,19,19,8,2,1,7,1
385166,0.1173,-1,1,1,24,24,24,24,5,7,5,6,1
385023,0.0637,-1,1,1,20,20,20,20,4,3,6,6,1
385319,0.1767,-1,1,1,37,37,37,37,9,5,6,14,3
384991,0.0589,-1,1,1,20,20,20,20,5,2,6,6,1
385274,0.1139,-1,1,1,24,24,24,24,4,8,5,6,1
385045,0.0892,-1,1,1,22,22,22,22,3,7,5,6,1
385254,0.1115,-1,1,1,21,21,21,21,5,3,6,6,1
384911,0.0811,-1,1,1,21,21,21,21,7,1,6,6,1
384692,0.0635,-1,1,1,14,14,14,14,2,3,6,1,2
384774,0.0692,-1,1,1,15,15,15,15,4,2,6,1,2
371649,2.2573,5,1,1,2000,157,157,157,0,0,0,0,157
385115,0.1208,-1,1,1,22,22,22,22,3,7,5,6,1
384642,0.0553,-1,1,1,11,11,11,11,3,3,1,2,2
385114,0.119,-1,1,1,24,24,24,24,4,8,5,6,1
385094,0.0976,-1,1,1,22,22,22,22,3,7,5,6,1
385386,0.0951,-1,1,1,24,24,24,24,5,7,5,6,1
384884,0.0843,-1,1,1,22,22,22,22,3,7,5,6,1
583077,10.3026,-1,1,1,2964,2846,2846,2846,2471,127,212,34,2
385160,0.1333,-1,1,1,23,23,23,23,4,7,5,6,1
384962,0.0795,-1,1,1,17,17,17,17,5,3,1,7,1
384963,0.101,-1,1,1,23,23,23,23,4,7,5,6,1
385255,0.0872,-1,1,1,24,24,24,24,4,8,5,6,1
384990,0.0639,-1,1,1,15,15,15,15,3,3,6,1,2
384675,0.0461,-1,1,1,15,15,15,15,4,2,1,7,1
631334,12.5417,-1,1,1,3696,3643,3643,3643,2533,956,118,34,2
384777,0.1089,-1,1,1,17,17,17,17,0,4,6,6,1
633898,12.9574,-1,1,1,3705,3685,3685,3685,2513,1032,104,34,2
384890,0.134,-1,1,1,20,20,20,20,4,3,6,6,1
385869,0.224,-1,1,1,50,50,50,50,6,16,11,14,3
384822,0.0825,-1,1,1,18,18,18,18,3,7,0,7,1
385145,0.0931,-1,1,1,21,21,21,21,5,3,6,6,1
384760,0.0899,-1,1,1,20,20,20,20,2,5,6,6,1
384657,0.0582,-1,1,1,17,17,17,17,2,2,6,6,1
385594,0.1085,-1,1,1,23,23,23,23,8,7,5,1,2
384676,0.0583,-1,1,1,14,14,14,14,2,3,6,1,2
385167,0.0724,-1,1,1,20,20,20,20,4,3,6,6,1
385124,0.0938,-1,1,1,22,22,22,22,6,3,6,6,1
384840,0.0618,-1,1,1,18,18,18,18,3,2,6,6,1
385105,0.0697,-1,1,1,18,18,18,18,7,7,0,2,2
384774,0.0596,-1,1,1,15,15,15,15,4,2,6,1,2
384949,0.0681,-1,1,1,22,22,22,22,3,7,5,6,1
385229,0.0462,-1,1,1,19,19,19,19,3,8,5,1,2
384872,0.0547,-1,1,1,17,17,17,17,5,3,1,7,1
385329,0.1455,-1,1,1,35,35,35,35,4,12,7,8,4
385102,0.0758,-1,1,1,20,20,20,20,5,2,6,6,1
384915,0.0618,-1,1,1,20,20,20,20,4,3,6,6,1
385076,0.0678,-1,1,1,21,21,21,21,5,3,6,6,1
385361,0.0722,-1,1,1,25,25,25,25,5,8,5,6,1
385043,0.0768,-1,1,1,18,18,18,18,7,2,1,7,1
384973,0.0515,-1,1,1,17,17,17,17,5,3,1,7,1
384988,0.0647,-1,1,1,19,19,19,19,4,7,5,1,2
384948,0.0764,-1,1,1,19,19,19,19,4,7,0,7,1
385081,0.0689,-1,1,1,22,22,22,22,3,7,5,6,1
385187,0.0868,-1,1,1,24,24,24,24,5,7,5,6,1
385360,0.0959,-1,1,1,25,25,25,25,7,6,5,6,1
385019,0.0704,-1,1,1,23,23,23,23,8,2,6,6,1
384646,0.0396,-1,1,1,11,11,11,11,4,2,1,2,2
385051,0.0501,-1,1,1,16,16,16,16,5,2,6,1,2
385249,0.0467,-1,1,1,24,24,24,24,5,7,5,6,1
384903,0.0482,-1,1,1,16,16,16,16,5,2,6,1,2
385021,0.0753,-1,1,1,20,20,20,20,4,3,6,6,1
384816,0.0401,-1,1,1,17,17,17,17,0,4,6,6,1
384809,0.0498,-1,1,1,15,15,15,15,3,3,6,1,2
384835,0.0563,-1,1,1,15,15,15,15,4,7,0,2,2
384776,0.0433,-1,1,1,15,15,15,15,4,2,1,7,1
384850,0.0416,-1,1,1,12,12,12,12,4,3,1,2,2
384715,0.0354,-1,1,1,11,11,11,11,4,2,1,2,2
385294,0.075,-1,1,1,24,24,24,24,5,7,5,6,1
385045,0.0682,-1,1,1,21,21,21,21,2,7,5,6,1
384711,0.0512,-1,1,1,18,18,18,18,3,7,0,7,1
384754,0.0294,-1,1,1,16,16,16,16,0,3,6,6,1
384952,0.0634,-1,1,1,20,20,20,20,5,7,5,1,2
384846,0.048,-1,1,1,13,13,13,13,5,3,1,2,2
384871,0.0998,-1,1,1,25,25,25,25,5,3,9,4,4
384593,0.0474,-1,1,1,14,14,14,14,2,3,6,1,2
384961,0.0552,-1,1,1,22,22,22,22,3,7,5,6,1
385141,0.062,-1,1,1,21,21,21,21,5,3,6,6,1
384959,0.0365,-1,1,1,15,15,15,15,3,3,6,1,2
384817,0.0336,-1,1,1,17,17,17,17,0,4,6,6,1
385126,0.0641,-1,1,1,22,22,22,22,3,7,5,6,1
384888,0.0721,-1,1,1,20,20,20,20,1,6,6,6,1
385203,0.0659,-1,1,1,20,20,20,20,4,8,0,7,1
384639,0.059,-1,1,1,18,18,18,18,3,7,0,7,1
385133,0.0682,-1,1,1,24,24,24,24,4,8,5,6,1
385104,0.0515,-1,1,1,20,20,20,20,4,3,6,6,1
385030,0.0764,-1,1,1,23,23,23,23,4,7,5,6,1
384767,0.0591,-1,1,1,16,16,16,16,0,3,6,6,1
384926,0.059,-1,1,1,18,18,18,18,3,7,0,7,1
384544,0.0299,-1,1,1,13,13,13,13,0,4,1,7,1
385391,0.0665,-1,1,1,26,26,26,26,8,6,5,6,1
385158,0.0669,-1,1,1,22,22,22,22,8,6,0,7,1
385282,0.089,-1,1,1,19,19,19,19,3,8,5,1,2
384804,0.0391,-1,1,1,15,15,15,15,4,2,1,7,1
385377,0.0801,-1,1,1,25,25,25,25,7,6,5,6,1
385005,0.052,-1,1,1,17,17,17,17,7,1,1,7,1
384660,0.078,-1,1,1,19,19,19,19,3,3,6,6,1
385280,0.0579,-1,1,1,20,20,20,20,5,7,5,1,2
384544,0.034,-1,1,1,12,12,12,12,4,3,1,2,2
385097,0.1177,-1,1,1,22,22,22,22,3,7,5,6,1
384917,0.0837,-1,1,1,19,19,19,19,4,7,5,1,2
384796,0.051,-1,1,1,13,13,13,13,6,2,1,2,2
385338,0.0743,-1,1,1,20,20,20,20,4,8,5,1,2
385183,0.0748,-1,1,1,21,21,21,21,5,3,6,6,1
384904,0.0556,-1,1,1,14,14,14,14,7,2,1,2,2
384949,0.0534,-1,1,1,16,16,16,16,4,3,1,7,1
385104,0.0626,-1,1,1,20,20,20,20,5,2,6,6,1
385025,0.0568,-1,1,1,20,20,20,20,4,3,6,6,1
384832,0.0491,-1,1,1,17,17,17,17,5,3,1,7,1
385140,0.0503,-1,1,1,20,20,20,20,4,3,6,6,1
384805,0.0392,-1,1,1,14,14,14,14,3,2,1,7,1
385233,0.0628,-1,1,1,20,20,20,20,5,7,5,1,2
384662,0.0516,-1,1,1,14,14,14,14,7,2,1,2,2
384773,0.0418,-1,1,1,13,13,13,13,6,2,1,2,2
384711,0.046,-1,1,1,14,14,14,14,3,2,1,7,1
385021,0.0498,-1,1,1,20,20,20,20,4,3,6,6,1
385371,0.1521,-1,1,1,40,40,40,40,3,10,9,15,3
384986,0.0733,-1,1,1,23,23,23,23,4,7,5,6,1
385075,0.1663,-1,1,1,20,20,20,20,5,2,6,6,1
384623,0.0711,-1,1,1,14,14,14,14,3,2,1,7,1
384870,0.0658,-1,1,1,20,20,20,20,4,3,6,6,1
384860,0.0707,-1,1,1,18,18,18,18,3,7,5,1,2
384747,0.0834,-1,1,1,20,20,20,20,4,3,6,6,1
385067,0.0754,-1,1,1,23,23,23,23,4,7,5,6,1
384403,0.0326,-1,1,1,9,9,9,9,1,3,1,2,2
385152,0.1338,-1,1,1,30,30,30,30,4,9,7,6,4
385183,0.0633,-1,1,1,21,21,21,21,5,3,6,6,1
385072,0.0871,-1,1,1,24,24,24,24,4,8,5,6,1
385391,0.0894,-1,1,1,26,26,26,26,8,6,5,6,1
384833,0.0479,-1,1,1,15,15,15,15,3,3,6,1,2
384877,0.0568,-1,1,1,16,16,16,16,4,8,0,2,2
385105,0.054,-1,1,1,20,20,20,20,4,3,6,6,1
385141,0.0715,-1,1,1,19,19,19,19,3,8,5,1,2
385139,0.0507,-1,1,1,21,21,21,21,5,3,6,6,1
385052,0.0672,-1,1,1,21,21,21,21,6,7,5,1,2
385413,0.0743,-1,1,1,25,25,25,25,5,8,5,6,1
385211,0.0873,-1,1,1,25,25,25,25,5,8,5,6,1
385265,0.0645,-1,1,1,20,20,20,20,5,7,0,7,1
384983,0.0646,-1,1,1,19,19,19,19,3,8,0,7,1
384705,0.0492,-1,1,1,17,17,17,17,2,2,6,6,1
385266,0.0701,-1,1,1,21,21,21,21,5,3,6,6,1
384960,0.0667,-1,1,1,17,17,17,17,1,8,5,1,2
385174,0.0941,-1,1,1,25,25,25,25,5,8,5,6,1
385123,0.0599,-1,1,1,21,21,21,21,5,3,6,6,1
385150,0.053,-1,1,1,21,21,21,21,5,3,6,6,1
384682,0.0348,-1,1,1,13,13,13,13,2,2,1,7,1
384675,0.0367,-1,1,1,12,12,12,12,4,3,1,2,2
384874,0.0459,-1,1,1,17,17,17,17,0,4,6,6,1
385161,0.136,-1,1,1,38,38,38,38,6,4,10,15,3
384981,0.0494,-1,1,1,20,20,20,20,4,3,6,6,1
384698,0.0413,-1,1,1,12,12,12,12,4,3,1,2,2
385538,0.177,-1,1,1,43,43,43,43,7,8,12,13,3
384865,0.0542,-1,1,1,19,19,19,19,4,2,6,6,1
384735,0.0597,-1,1,1,18,18,18,18,3,2,6,6,1
384897,0.0572,-1,1,1,18,18,18,18,7,2,1,7,1
385241,0.0623,-1,1,1,23,23,23,23,4,7,5,6,1
