estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries
24290,1,1,13,13,13,13,7,3,3,0,0
24044,1,1,19,19,19,19,6,3,6,4,0
24986,7,7,41,41,287,228,17,57,84,70,0
24473,1,1,8,8,8,8,0,5,3,0,0
24061,1,1,16,16,16,16,1,5,6,4,0
24061,1,1,20,20,20,20,4,6,6,4,0
24408,1,1,11,11,11,11,4,4,3,0,0
24465,1,1,12,12,12,12,5,4,3,0,0
24210,1,1,20,20,20,20,6,4,6,4,0
22484,7,7,14,14,98,56,28,0,14,14,0
24216,1,1,17,17,17,17,1,6,6,4,0
24329,1,1,10,10,10,10,3,4,3,0,0
24285,1,1,18,18,18,18,7,5,1,5,0
24419,1,1,9,9,9,9,2,4,3,0,0
24144,1,1,10,10,10,10,3,4,3,0,0
24090,1,1,8,8,8,8,1,4,3,0,0
24248,1,1,8,8,8,8,1,4,3,0,0
24171,1,1,8,8,8,8,1,4,3,0,0
25205,7,7,42,42,294,262,12,96,84,70,0
27403,126,126,1,1,126,126,0,0,0,0,126
18383,7,7,2,2,14,14,7,7,0,0,0
0,21,21,8,8,168,0,0,0,0,0,0
24226,1,1,14,14,14,14,8,3,3,0,0
20962,1,1,1,1,1,1,0,0,0,0,1
24436,1,1,8,8,8,8,4,0,4,0,0
24120,1,1,11,11,11,11,5,3,3,0,0
24258,1,1,8,8,8,8,1,4,3,0,0
49411,7,7,13,13,91,91,28,14,35,14,0
24384,1,1,11,11,11,11,4,4,3,0,0
24295,1,1,9,9,9,9,2,4,3,0,0
24151,1,1,11,11,11,11,5,3,3,0,0
24395,1,1,11,11,11,11,4,4,3,0,0
24435,1,1,9,9,9,9,2,4,3,0,0
24593,1,1,12,12,12,12,5,4,3,0,0
24194,1,1,19,19,19,19,4,5,6,4,0
24076,1,1,8,8,8,8,1,4,3,0,0
24401,1,1,15,15,15,15,5,8,2,0,0
20923,1,1,1,1,1,1,0,0,0,0,1
24328,1,1,9,9,9,9,1,5,3,0,0
24351,1,1,11,11,11,11,4,4,3,0,0
24206,1,1,12,12,12,12,6,3,3,0,0
24435,1,1,8,8,8,8,1,4,3,0,0
24134,1,1,13,13,13,13,2,0,7,4,0
0,21,21,16,16,336,0,0,0,0,0,0
24270,1,1,11,11,11,11,4,4,3,0,0
24458,1,1,9,9,9,9,2,4,3,0,0
24294,1,1,8,8,8,8,1,4,3,0,0
24284,1,1,8,8,8,8,1,4,3,0,0
