estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries
192426,1,1,17,17,17,17,7,4,0,6,0
192483,1,1,17,17,17,17,4,3,5,5,0
192315,1,1,21,21,21,21,7,4,5,5,0
192185,1,1,7,7,7,7,1,4,0,1,1
192393,1,1,20,20,20,20,6,4,5,5,0
242171,21,21,23,23,483,182,56,14,42,49,21
192178,1,1,34,34,34,34,10,4,6,13,1
192308,1,1,19,19,19,19,5,4,5,5,0
192276,1,1,8,8,8,8,2,4,0,1,1
192174,1,1,7,7,7,7,1,2,2,1,1
192139,1,1,11,11,11,11,2,3,5,0,1
192155,1,1,19,19,19,19,5,4,5,5,0
192319,1,1,16,16,16,16,4,2,5,5,0
192388,1,1,18,18,18,18,5,3,5,5,0
112485,21,21,21,21,441,140,28,14,28,49,21
599934,1,1,4000,397,397,397,0,0,0,0,397
192265,1,1,12,12,12,12,1,5,0,6,0
192220,1,1,10,10,10,10,1,3,0,6,0
192322,1,1,13,13,13,13,4,3,5,0,1
192317,1,1,18,18,18,18,4,4,5,5,0
192428,1,1,20,20,20,20,7,3,5,5,0
192264,1,1,23,23,23,23,6,8,4,5,0
224840,1,1,3455,3414,3414,3414,2324,967,106,17,0
192253,1,1,23,23,23,23,6,8,4,5,0
192240,1,1,18,18,18,18,4,4,5,5,0
192415,1,1,12,12,12,12,2,4,5,0,1
192277,1,1,16,16,16,16,1,5,5,5,0
192283,1,1,17,17,17,17,0,8,4,5,0
192355,1,1,16,16,16,16,2,4,5,5,0
224800,1,1,3416,3395,3395,3395,2349,926,103,17,0
192094,1,1,10,10,10,10,5,3,0,1,1
218398,1,1,2604,2585,2585,2585,2326,56,186,17,0
192282,1,1,16,16,16,16,1,5,5,5,0
192190,1,1,33,33,33,33,4,16,10,1,2
192420,1,1,17,17,17,17,3,4,5,5,0
192186,1,1,13,13,13,13,4,3,5,0,1
192186,1,1,18,18,18,18,4,4,5,5,0
192245,1,1,16,16,16,16,4,2,5,5,0
