estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries
48236,1,1,17,17,17,17,4,4,3,5,1
0,21,21,17,17,357,0,0,0,0,0,0
48246,1,1,40,40,40,40,5,17,14,4,0
48292,1,1,10,10,10,10,4,3,2,1,0
48149,1,1,13,13,13,13,2,4,7,0,0
43345,1,1,1,1,1,1,0,0,0,0,1
54537,462,307,16,16,4912,2021,25,482,612,462,440
48348,1,1,9,9,9,9,2,4,2,1,0
48228,1,1,14,14,14,14,4,0,4,5,1
48364,1,1,11,11,11,11,5,3,2,1,0
51783,378,252,20,20,5040,1725,95,132,374,630,494
48271,1,1,9,9,9,9,3,3,2,1,0
48151,1,1,12,12,12,12,6,3,2,1,0
48220,1,1,10,10,10,10,4,3,2,1,0
43345,1,1,1,1,1,1,0,0,0,0,1
48363,1,1,14,14,14,14,3,4,7,0,0
48132,1,1,11,11,11,11,6,2,2,1,0
48104,1,1,19,19,19,19,5,5,3,5,1
3680,7,7,15,15,105,56,28,21,0,0,7
48293,1,1,16,16,16,16,7,7,1,1,0
48362,1,1,7,7,7,7,1,3,2,1,0
48423,1,1,10,10,10,10,3,4,2,1,0
0,21,21,14,14,294,0,0,0,0,0,0
0,7,7,19,19,133,0,0,0,0,0,0
48206,1,1,10,10,10,10,0,8,1,1,0
42794,3,1,1,1,1,1,0,0,0,0,1
48355,1,1,14,14,14,14,4,3,7,0,0
48337,1,1,10,10,10,10,3,4,2,1,0
48211,1,1,20,20,20,20,7,7,6,0,0
98375,7,7,20,20,140,140,28,42,35,35,0
48352,1,1,9,9,9,9,3,3,2,1,0
48255,1,1,12,12,12,12,1,4,7,0,0
48422,1,1,12,12,12,12,7,2,2,1,0
48163,1,1,16,16,16,16,2,4,4,5,1
48282,1,1,16,16,16,16,7,7,1,1,0
42738,3,3,1,1,3,3,0,0,0,0,3
48248,1,1,10,10,10,10,4,3,2,1,0
48065,1,1,20,20,20,20,1,6,8,4,1
42794,3,1,1,1,1,1,0,0,0,0,1
48213,1,1,16,16,16,16,6,3,7,0,0
48274,1,1,18,18,18,18,5,4,3,5,1
48342,1,1,8,8,8,8,1,4,2,1,0
48197,1,1,18,18,18,18,5,4,3,5,1
48225,1,1,20,20,20,20,6,4,4,5,1
48262,1,1,13,13,13,13,3,8,1,1,0
48329,1,1,14,14,14,14,8,3,2,1,0
43345,1,1,1,1,1,1,0,0,0,0,1
48351,1,1,9,9,9,9,3,3,2,1,0
52246,378,252,19,19,4788,1721,71,152,500,504,494
