estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries
6596,0.2769,-1,1,1,10,10,10,10,0,4,6,0,0
20120,0.3815,-1,21,21,9,9,189,126,56,56,14,0,0
7472,0.4488,-1,1,1,26,26,26,26,8,12,6,0,0
6487,0.0571,-1,1,1,5,5,5,5,0,5,0,0,0
6963,0.0671,-1,1,1,10,10,10,10,6,4,0,0,0
2384,0.0798,-1,22,11,1,1,11,11,0,0,0,0,11
7002,0.6099,-1,1,1,9,9,9,9,5,4,0,0,0
6718,0.0485,-1,1,1,6,6,6,6,1,5,0,0,0
7554,0.134,-1,1,1,11,11,11,6,1,0,1,4,0
7559,0.1703,-1,54,36,1,1,36,36,0,0,0,0,36
7089,0.0741,-1,1,1,10,10,10,10,6,4,0,0,0
6637,0.0762,-1,1,1,13,13,13,13,4,3,6,0,0
6766,0.0453,-1,1,1,8,8,8,8,4,4,0,0,0
6655,0.0484,-1,1,1,9,9,9,9,3,4,1,1,0
6648,0.0475,-1,1,1,9,9,9,9,5,4,0,0,0
6567,0.0532,-1,1,1,10,10,10,10,0,4,6,0,0
6810,0.0468,-1,1,1,9,9,9,9,5,4,0,0,0
7140,0.0535,-1,1,1,11,11,11,11,7,4,0,0,0
7559,0.2072,-1,54,36,1,1,36,36,0,0,0,0,36
1456,0.068,-1,14,7,1,1,7,7,0,0,0,0,7
16286,0.2095,-1,7,7,10,10,70,70,21,28,21,0,0
6893,0.0688,-1,1,1,9,9,9,9,5,4,0,0,0
0,0.1242,-1,7,7,12,12,84,0,0,0,0,0,0
27737,1.4048,-1,126,63,16,16,1008,527,24,129,122,189,63
51,0.3647,-1,126,63,10,10,630,19,0,0,0,0,19
22432,0.4028,-1,21,21,11,11,231,154,84,56,14,0,0
7085,0.1187,-1,1,1,18,18,18,18,5,8,5,0,0
22242,0.4155,-1,21,21,11,11,231,154,84,56,14,0,0
6801,0.0507,-1,1,1,9,9,9,9,5,4,0,0,0
13401,0.0917,-1,3,3,12,12,36,24,8,6,6,4,0
6680,0.0387,-1,1,1,8,8,8,8,4,4,0,0,0
7150,0.048,-1,1,1,10,10,10,10,6,4,0,0,0
7186,0.1135,-1,1,1,24,24,24,24,7,3,12,2,0
7167,0.0488,-1,1,1,10,10,10,10,6,4,0,0,0
10485,0.0676,-1,1,1,16,16,16,10,2,0,4,4,0
7457,0.1461,-1,1,1,34,34,34,30,7,9,9,5,0
6800,0.0489,-1,1,1,10,10,10,10,6,4,0,0,0
6666,0.0395,-1,1,1,8,8,8,8,4,4,0,0,0
52838,3.7634,-1,378,252,16,16,4032,1103,130,226,621,126,0
1962,0.0659,-1,18,9,1,1,9,9,0,0,0,0,9
6901,0.2206,-1,1,1,9,9,9,9,5,4,0,0,0
9355,0.1956,-1,66,44,1,1,44,44,0,0,0,0,44
21049,0.0139,-1,1,1,1,1,1,1,0,0,0,0,1
0,0.122,-1,21,21,9,9,189,0,0,0,0,0,0
7003,0.047,-1,1,1,9,9,9,9,5,4,0,0,0
6578,0.0334,-1,1,1,6,6,6,6,1,5,0,0,0
63445,3.8653,-1,378,252,17,17,4284,1253,114,515,498,126,0
