estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries
96309,1,1,9,9,9,9,3,3,0,3,0
96305,1,1,10,10,10,10,2,1,5,2,0
96482,1,1,19,19,19,19,6,7,4,2,0
96294,1,1,12,12,12,12,3,2,5,2,0
96339,1,1,5,5,5,5,0,2,0,3,0
194313,21,21,21,21,441,294,98,56,70,70,0
118968,7,7,13,13,91,84,21,21,14,14,14
96356,1,1,19,19,19,19,7,6,4,2,0
96213,1,1,37,37,37,37,9,8,10,10,0
96173,1,1,12,12,12,12,8,1,0,3,0
130607,7,7,17,17,119,70,14,14,7,28,7
96331,1,1,11,11,11,11,3,1,5,2,0
134762,7,7,24,24,168,91,28,7,21,28,7
96221,1,1,17,17,17,17,5,6,4,2,0
96354,1,1,17,17,17,17,5,6,4,2,0
96533,1,1,19,19,19,19,7,6,4,2,0
96341,1,1,19,19,19,19,7,6,4,2,0
96319,1,1,14,14,14,14,6,1,5,2,0
96420,1,1,17,17,17,17,4,7,4,2,0
96242,1,1,14,14,14,14,1,7,4,2,0
96316,1,1,11,11,11,11,8,0,0,3,0
96425,1,1,13,13,13,13,4,2,5,2,0
0,21,21,19,19,399,0,0,0,0,0,0
96834,7,7,40,40,280,271,0,82,56,112,21
96217,1,1,19,19,19,19,7,6,4,2,0
96318,1,1,51,51,51,51,14,14,13,10,0
228433,1,1,2000,240,240,240,0,0,0,0,240
96316,1,1,11,11,11,11,1,2,6,2,0
96406,1,1,16,16,16,16,8,1,5,2,0
128340,7,7,17,17,119,77,28,7,7,28,7
96214,1,1,19,19,19,19,5,8,4,2,0
96271,1,1,19,19,19,19,8,5,4,2,0
96398,1,1,12,12,12,12,4,1,5,2,0
96488,1,1,19,19,19,19,7,6,4,2,0
46114,7,7,21,21,147,77,7,21,28,14,7
85025,7,7,12,12,84,42,7,7,14,0,14
90510,7,7,16,16,112,49,7,0,28,0,14
120587,1,1,2376,2367,2367,2367,2187,8,172,0,0
96454,1,1,10,10,10,10,5,2,0,3,0
96397,1,1,11,11,11,11,7,1,0,3,0
96270,1,1,18,18,18,18,7,5,4,2,0
96495,1,1,14,14,14,14,4,3,5,2,0
96317,1,1,11,11,11,11,2,2,5,2,0
96263,1,1,11,11,11,11,2,2,5,2,0
126425,1,1,3114,3097,3097,3097,2154,858,85,0,0
96509,1,1,19,19,19,19,7,6,4,2,0
119747,1,1,2241,2226,2226,2226,2188,12,10,16,0
96432,1,1,16,16,16,16,4,6,4,2,0
96212,1,1,38,38,38,38,14,7,5,12,0
113675,7,7,18,18,126,84,28,28,0,14,14
96381,1,1,16,16,16,16,4,6,4,2,0
67849,7,7,19,19,133,63,0,21,7,28,7
96386,1,1,15,15,15,15,7,1,5,2,0
96295,1,1,11,11,11,11,3,1,5,2,0
96322,1,1,11,11,11,11,3,1,5,2,0
96364,1,1,12,12,12,12,4,1,5,2,0
96247,1,1,14,14,14,14,5,2,5,2,0
96415,1,1,17,17,17,17,6,5,4,2,0
96173,1,1,9,9,9,9,4,2,0,3,0
91515,7,7,16,16,112,63,14,7,28,0,14
96273,1,1,13,13,13,13,5,1,5,2,0
96427,1,1,17,17,17,17,3,8,4,2,0
96313,1,1,18,18,18,18,6,6,4,2,0
96459,1,1,11,11,11,11,2,2,5,2,0
96292,1,1,15,15,15,15,3,6,4,2,0
96330,1,1,18,18,18,18,6,6,4,2,0
96220,1,1,12,12,12,12,3,2,5,2,0
96200,1,1,14,14,14,14,5,2,5,2,0
96298,1,1,12,12,12,12,3,2,5,2,0
96092,1,1,23,23,23,23,4,1,10,7,1
96242,1,1,17,17,17,17,4,7,4,2,0
96249,1,1,9,9,9,9,4,2,0,3,0
96389,1,1,18,18,18,18,6,6,4,2,0
96189,1,1,19,19,19,19,8,5,4,2,0
96189,1,1,10,10,10,10,2,1,5,2,0
96337,1,1,12,12,12,12,3,2,5,2,0
96341,1,1,16,16,16,16,4,6,4,2,0
96218,1,1,14,14,14,14,5,2,5,2,0
96109,1,1,15,15,15,15,2,7,4,2,0
96537,1,1,9,9,9,9,5,1,0,3,0
144499,7,7,19,19,133,84,21,14,7,35,7
96170,1,1,14,14,14,14,1,7,4,2,0
96146,1,1,14,14,14,14,6,1,5,2,0
96339,1,1,14,14,14,14,1,7,4,2,0
96504,7,7,39,39,273,242,8,38,77,98,21
96436,1,1,15,15,15,15,3,6,4,2,0
96206,1,1,15,15,15,15,3,6,4,2,0
96412,1,1,18,18,18,18,6,6,4,2,0
96123,1,1,11,11,11,11,3,1,5,2,0
96435,1,1,12,12,12,12,2,3,5,2,0
96356,1,1,12,12,12,12,3,2,5,2,0
96255,1,1,14,14,14,14,4,3,5,2,0
96415,1,1,12,12,12,12,4,1,5,2,0
97092,7,7,45,45,315,250,20,76,98,28,28
145375,7,7,17,17,119,70,7,7,14,35,7
96297,1,1,18,18,18,18,7,5,4,2,0
137020,7,7,23,23,161,84,21,0,28,28,7
96314,1,1,7,7,7,7,2,2,0,3,0
96381,1,1,13,13,13,13,0,7,4,2,0
96263,1,1,16,16,16,16,8,1,5,2,0
96314,1,1,18,18,18,18,6,6,4,2,0
96351,1,1,16,16,16,16,3,7,4,2,0
96442,1,1,19,19,19,19,7,6,4,2,0
96262,1,1,13,13,13,13,5,1,5,2,0
96135,7,7,30,30,210,163,23,7,7,105,21
96194,1,1,10,10,10,10,1,2,5,2,0
96318,1,1,19,19,19,19,7,6,4,2,0
96136,1,1,10,10,10,10,2,1,5,2,0
55548,7,7,22,22,154,84,21,28,7,21,7
96095,1,1,11,11,11,11,2,2,5,2,0
133776,7,7,17,17,119,77,14,14,14,28,7
96248,1,1,12,12,12,12,2,3,5,2,0
96236,1,1,18,18,18,18,6,6,4,2,0
96323,1,1,10,10,10,10,2,1,5,2,0
96253,1,1,18,18,18,18,6,6,4,2,0
96308,1,1,16,16,16,16,8,1,5,2,0
0,21,21,16,16,336,0,0,0,0,0,0
96315,1,1,48,48,48,48,12,17,9,10,0
96184,1,1,17,17,17,17,4,7,4,2,0
96225,1,1,10,10,10,10,0,3,5,2,0
96394,1,1,18,18,18,18,5,7,4,2,0
96500,1,1,16,16,16,16,4,6,4,2,0
96419,1,1,11,11,11,11,1,3,5,2,0
96464,1,1,13,13,13,13,3,3,5,2,0
96388,1,1,18,18,18,18,7,5,4,2,0
76558,7,7,20,20,140,84,7,14,28,28,7
96364,1,1,9,9,9,9,3,3,0,3,0
50944,21,21,15,15,315,63,0,0,28,35,0
96158,1,1,32,32,32,32,7,4,11,10,0
193677,21,21,14,14,294,196,42,70,0,84,0
0,21,21,19,19,399,0,0,0,0,0,0
96337,1,1,11,11,11,11,2,2,5,2,0
96275,1,1,13,13,13,13,4,2,5,2,0
96357,1,1,14,14,14,14,1,7,4,2,0
96319,1,1,16,16,16,16,3,7,4,2,0
96171,1,1,10,10,10,10,1,2,5,2,0
96435,1,1,15,15,15,15,3,6,4,2,0
96520,1,1,20,20,20,20,8,6,4,2,0
96278,1,1,15,15,15,15,3,6,4,2,0
96224,1,1,8,8,8,8,3,2,0,3,0
96192,1,1,19,19,19,19,7,6,4,2,0
96389,1,1,19,19,19,19,8,5,4,2,0
96268,1,1,9,9,9,9,5,1,0,3,0
96275,1,1,14,14,14,14,4,2,6,2,0
88516,7,7,16,16,112,63,21,7,21,0,14
96502,1,1,15,15,15,15,2,7,4,2,0
96295,1,1,18,18,18,18,6,6,4,2,0
96320,1,1,18,18,18,18,6,6,4,2,0
96227,1,1,12,12,12,12,3,2,5,2,0
96334,1,1,14,14,14,14,2,6,4,2,0
96356,1,1,11,11,11,11,1,3,5,2,0
96340,1,1,14,14,14,14,6,1,5,2,0
132786,7,7,17,17,119,91,21,21,14,28,7
193588,21,21,17,17,357,238,28,70,70,70,0
96253,1,1,41,41,41,41,12,10,8,11,0
96231,1,1,18,18,18,18,7,5,4,2,0
96230,1,1,10,10,10,10,2,1,5,2,0
96290,1,1,11,11,11,11,0,4,5,2,0
96298,1,1,13,13,13,13,3,3,5,2,0
96153,1,1,10,10,10,10,0,3,5,2,0
96333,1,1,16,16,16,16,8,1,5,2,0
96337,1,1,19,19,19,19,7,6,4,2,0
96488,1,1,16,16,16,16,4,6,4,2,0
96317,1,1,7,7,7,7,2,2,0,3,0
96185,1,1,15,15,15,15,7,1,5,2,0
108752,7,7,17,17,119,63,0,14,28,7,14
138381,7,7,20,20,140,98,21,14,28,28,7
120692,7,7,21,21,147,56,0,0,28,21,7
96323,1,1,15,15,15,15,3,6,4,2,0
96365,1,1,19,19,19,19,6,7,4,2,0
96267,1,1,14,14,14,14,2,6,4,2,0
96367,1,1,16,16,16,16,4,6,4,2,0
97943,21,21,37,37,777,592,19,118,161,273,21
96268,1,1,17,17,17,17,4,7,4,2,0
98748,7,7,14,14,98,42,14,0,7,7,14
371501,1,1,2000,157,157,157,0,0,0,0,157
0,21,21,18,18,378,0,0,0,0,0,0
96429,1,1,15,15,15,15,6,2,5,2,0
371501,1,1,2000,157,157,157,0,0,0,0,157
96255,1,1,13,13,13,13,5,1,5,2,0
96405,1,1,15,15,15,15,7,1,5,2,0
170206,21,21,13,13,273,174,14,42,97,0,21
96346,1,1,13,13,13,13,4,2,5,2,0
96297,1,1,14,14,14,14,6,1,5,2,0
100638,7,7,5,5,35,35,0,7,14,7,7
96109,1,1,15,15,15,15,2,7,4,2,0
96388,1,1,18,18,18,18,6,6,4,2,0
96298,1,1,9,9,9,9,0,2,5,2,0
