estimates,runtime,case
10341,1295.740801,2
8094,472.4977,2
19523,1324.6553,2
15304,1651.1587,2
24128,1816.8483,2
17370,1649.189101,2
13790,1130.461799,2
1327,736.246299,1
17697,1531.2706,2
22823,1759.214299,2
19247,2003.8409,2
18077,1408.7787,2
14370,1984.6223,2
19310,1501.990699,2
11440,1023.7162,2
11163,860.718,2
6957,417.399399,2
15001,1203.0958,2
12712,858.755901,2
16175,1032.694401,2
18488,1216.035601,2
8349,431.1692,2
6683,455.090299,2
1262,1241.3048,1
16149,1436.214199,2
16248,1636.4614,2
27506,1735.677499,2
18665,1314.5293,2
4008,846.2734,2
13022,927.6382,2
1059,1339.1522,1
14804,943.1559,2
13336,1143.3272,2
11446,808.987501,2
11582,965.9906,2
12708,903.516399,2
23902,1564.782,2
15707,1292.2275,2
14260,1410.333799,2
26188,1521.0959,2
8393,408.2387,2
20931,1316.743199,2
1393,899.5099,1
5816,511.454101,2
8215,430.8445,2
25375,1427.1789,2
16508,1239.5956,2
14088,443.5436,2
18065,1331.1163,2
18160,1217.5799,2
10455,457.827799,2
15655,1447.275899,2
11677,995.071899,2
10061,372.3589,2
15113,1025.190699,2
21911,2071.6766,2
18417,1675.3485,2
14226,1247.209701,2
8305,446.644299,2
13710,1034.344199,2
19620,1712.3031,2
24446,1927.4668,2
14276,1345.6249,2
13581,1298.241601,2
11348,892.462499,2
10572,844.2365,2
18092,1580.7232,2
11955,918.5713,2
12939,956.2859,2
15675,1079.430901,2
30009,2474.5382,2
14360,1974.262501,2
14153,1286.259001,2
18384,1325.7141,2
25465,1828.1252,2
5389,454.7096,2
5121,450.2502,2
9040,1605.760599,2
15803,1187.6229,2
4799,890.691401,2
27875,2033.0789,2
11826,806.9199,2
14992,1386.4876,2
11403,858.5016,2
16445,1172.6508,2
9950,400.1478,2
5816,480.8893,2
11442,900.107899,2
26178,2605.792699,2
18323,1143.198,2
16620,1024.6274,2
11719,804.308699,2
20877,1476.9938,2
16219,1195.323899,2
13847,1398.8842,2
10157,985.4057,2
16447,1655.1476,2
13894,949.711901,2
12393,1614.5654,2
19865,460.9579,2
13600,998.8074,2
11462,769.3197,2
9361,644.776,2
18269,468.8568,2
13002,994.9295,2
14040,991.938399,2
7479,460.2095,2
13351,1760.8982,2
14048,986.766799,2
23152,2336.712901,2
7237,458.3635,2
12301,942.480699,2
12783,1195.4464,2
13334,1325.879599,2
13639,1421.8129,2
16152,667.147101,2
11031,2038.4609,2
18459,1657.051,2
13546,1276.8753,2
22362,1701.883099,2
17811,1173.3682,2
9351,804.0286,2
17003,1296.442599,2
9336,1196.3192,2
13646,1294.1004,2
24092,1715.6199,2
23032,1121.168799,2
10231,447.3189,2
5843,927.5767,2
17086,1030.1481,2
23897,1720.488401,2
10409,1582.124999,2
22247,1339.664,2
9252,478.1325,2
24765,2204.130001,2
5224,446.611499,2
13872,1096.7463,2
13566,998.743001,2
13229,1195.1489,2
7278,1292.850599,2
26946,1026.1904,2
17550,1183.381401,2
7156,410.0119,2
22547,1706.319299,2
10800,973.1526,2
12954,919.830701,2
11904,390.7579,2
16447,1196.904301,2
12841,1664.6438,2
12840,1673.5183,2
10711,436.427601,2
21858,1760.3115,2
14429,1045.0422,2
8334,375.149501,2
18174,1165.1254,2
15204,939.3204,2
18464,1425.6572,2
7237,475.8164,2
7996,499.0652,2
8059,493.8372,2
12394,819.4671,2
16686,1362.215199,2
8072,430.104499,2
16656,1191.3848,2
9037,956.598201,2
17934,420.074099,2
9976,355.9767,2
28852,1181.2974,2
21325,2026.623299,2
14535,1105.8874,2
23947,1479.427301,2
18839,1340.1252,2
11498,1536.575101,2
20181,410.9802,2
21037,1356.356,2
11102,1110.9123,2
22327,1594.016501,2
18644,1258.4296,2
15630,1058.949599,2
22554,1557.3505,2
7246,440.8431,2
17341,1475.627199,2
23656,1751.4625,2
18270,1663.4669,2
7659,1367.3146,2
7245,453.8598,2
24353,1728.7392,2
1186,383.1627,1
22582,2135.969501,2
5798,465.360501,2
18217,1755.1302,2
7596,452.0186,2
11678,1319.774601,2
21941,1573.979499,2
9106,479.291699,2
8390,477.677,2
11530,919.939101,2
12416,984.7646,2
19993,1331.5013,2
10211,893.0358,2
