estimates,runtime,case
5097,4176.9977,1
3450,3236.895801,1
3377,3520.7805,1
4450,3423.636601,1
1233,4138.5409,1
5194,3929.967799,1
4604,4507.2743,1
1153,5603.5506,1
1094,5465.4634,1
1155,6451.341601,1
5104,3920.750101,1
5521,4247.4202,1
4918,4357.6275,1
1045,4952.5433,1
3188,2583.5553,1
1156,5091.499401,1
3858,3587.965499,1
1100,4822.7868,1
1001,5557.488599,1
4382,3657.4231,1
4375,4280.610299,1
4078,4216.373799,1
3756,3718.1058,1
4173,3911.803901,1
5061,4029.4718,1
5138,5181.1555,1
1000,6156.9069,1
4990,3678.202799,1
1115,4212.0118,1
5898,4752.0334,1
4569,3408.576,1
4434,3923.4,1
4238,3989.015901,1
3910,3312.206701,1
3805,3546.0273,1
4127,3889.871599,1
5431,4612.3258,1
5056,4756.574,1
4818,3244.965,1
6205,4925.8333,1
3750,3607.2531,1
4202,4444.7983,1
5504,4330.4511,1
1096,5986.085,1
3743,4041.0663,1
6116,4760.5826,1
3863,3147.9012,1
3905,3548.794899,1
1120,5019.0582,1
4057,4300.1044,1
6094,4272.8477,1
5543,4135.6882,1
1081,4336.621,1
1128,4122.101401,1
4537,3334.185099,1
3666,3138.8384,1
4627,4016.6555,1
3257,3125.4599,1
5659,5265.5781,1
4544,4730.2024,1
1438,4643.4377,1
4808,4518.5083,1
3592,3746.7888,1
1068,4794.661799,1
4408,10766.1476,1
1260,4753.7949,1
5781,4874.3037,1
4540,4667.619599,1
4836,4735.395,1
6486,4426.5153,1
1116,5345.4871,1
4863,3777.553399,1
5780,4250.847299,1
4988,4531.9505,1
1250,4397.0767,1
4804,4588.3001,1
4744,4509.427999,1
3888,4338.4916,1
4408,5810.603,1
1157,4743.8759,1
3670,3507.496199,1
5676,4763.7146,1
3390,3183.104301,1
4741,4174.6271,1
4034,3677.5483,1
4447,4508.7142,1
5353,4680.079399,1
6694,4804.112699,1
4081,3954.8961,1
3858,4152.9125,1
4048,4011.009,1
4336,4443.1013,1
4659,3684.447499,1
4968,3900.4797,1
2773,2765.0737,1
4225,3668.1834,1
6181,4234.1207,1
4983,3900.769701,1
4334,3530.940301,1
5431,4275.6526,1
1247,4010.4371,1
4044,3372.0301,1
4641,3560.9765,1
6102,4728.3518,1
3126,2684.9809,1
4562,3585.2818,1
3267,2586.949499,1
4413,4343.5219,1
1013,5127.5532,1
4913,4301.956299,1
4865,4421.0913,1
3739,3555.242199,1
4462,4370.529299,1
1210,4965.5997,1
5687,4384.3725,1
1178,4076.7533,1
1239,6477.8218,1
4316,3644.959601,1
4537,3587.622401,1
4685,4397.631499,1
5830,4714.155199,1
4830,4035.1812,1
1028,5575.414399,1
4876,4209.8245,1
5167,5045.882,1
1092,3703.356599,1
3961,3561.899,1
5208,4566.6888,1
3600,3102.588201,1
4236,3660.2877,1
1959,6770.2772,1
3724,4713.2324,1
4461,3849.317999,1
4357,4153.5916,1
5082,4513.6116,1
4461,3902.868001,1
1195,5420.7154,1
4558,4074.212399,1
4620,4437.951599,1
4050,3720.3762,1
5238,4504.0505,1
4683,4218.0645,1
4768,3995.038999,1
5603,4707.1414,1
4579,4041.266899,1
4353,4209.3194,1
3494,3398.649399,1
5497,4708.2054,1
4923,4137.128,1
1223,4511.254201,1
4882,3969.749099,1
3905,3367.9364,1
6070,4194.324901,1
4062,3613.5134,1
5687,4765.068301,1
3355,2917.5227,1
1076,5550.677501,1
5101,4009.9239,1
6315,5343.3393,1
5964,4638.1734,1
5149,4147.6039,1
5796,4941.5907,1
4155,3576.2459,1
5560,4483.6412,1
1183,4618.979901,1
1022,5557.0864,1
4215,3563.823401,1
1276,4149.8474,1
1158,4486.863201,1
5023,3627.3851,1
1248,4897.064699,1
4849,4457.8987,1
3823,3601.4614,1
4963,3543.330701,1
4509,4290.3761,1
6055,4838.641599,1
1189,5067.03,1
4531,4345.345399,1
6057,5681.4702,1
2824,2861.082,1
3872,3682.5436,1
5095,4458.991899,1
4551,3926.9624,1
4563,4298.8604,1
4535,3490.050101,1
4382,3860.75,1
4111,3499.4036,1
5157,4746.4936,1
5214,5039.7132,1
4456,4166.552001,1
1098,5492.4386,1
4883,4211.7321,1
1148,4548.1286,1
5101,6347.5341,1
4200,4242.9858,1
4540,3574.059,1
5529,4496.0195,1
1244,4917.5591,1
5006,4373.324701,1
3988,3388.8377,1
