estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries
20857,49.5535,3,1,1,2250,360,360,360,0,0,0,360,0
6350,45.8314,3,1,1,3600,191,191,191,0,0,0,191,0
12682,41.553,3,1,1,1800,252,252,252,0,0,0,252,0
10358,56.8895,3,1,1,2250,180,180,180,0,0,0,180,0
4371,43.0798,3,1,1,2125,142,142,142,0,0,0,142,0
16813,52.1205,3,1,1,1800,324,324,324,0,0,0,324,0
29989,62.1896,3,1,1,4500,697,697,697,0,0,0,697,0
24838,30.8097,3,1,1,4250,476,476,476,0,0,0,476,0
23863,39.5206,3,1,1,3600,432,432,432,0,0,0,432,0
10587,45.9487,3,1,1,2125,235,235,235,0,0,0,235,0
14438,49.9237,3,1,1,2125,322,322,322,0,0,0,322,0
27124,150.514,3,1,1,4250,576,576,576,0,0,0,576,0
536,59.8588,3,1,1,1360,16,16,16,0,0,0,16,0
24824,62.1926,3,1,1,4250,459,459,459,0,0,0,459,0
13901,60.0991,3,1,1,3600,286,286,286,0,0,0,286,0
13300,130.2547,3,1,1,1800,270,270,270,0,0,0,270,0
4964,73.0692,3,1,1,2125,102,102,102,0,0,0,102,0
26878,74.6684,3,1,1,4250,557,557,557,0,0,0,557,0
13012,76.2282,3,1,1,4250,280,280,280,0,0,0,280,0
1575,60.249,3,1,1,1360,44,44,44,0,0,0,44,0
18462,66.6236,3,1,1,4500,477,477,477,0,0,0,477,0
17007,48.7735,3,1,1,2250,288,288,288,0,0,0,288,0
4637,45.2223,3,1,1,1800,108,108,108,0,0,0,108,0
0,41.5502,3,1,1,4500,0,0,0,0,0,0,0,0
3710,41.4474,3,1,1,2250,125,125,125,0,0,0,125,0
10268,38.7132,3,1,1,1700,202,202,202,0,0,0,202,0
9939,50.0499,3,1,1,3600,283,283,283,0,0,0,283,0
31168,51.5857,3,1,1,4500,682,682,682,0,0,0,682,0
22069,46.5291,3,1,1,4250,515,515,515,0,0,0,515,0
7739,44.8983,3,1,1,1800,231,231,231,0,0,0,231,0
15458,81.925,3,1,1,4500,355,355,355,0,0,0,355,0
4481,46.6324,3,1,1,2125,102,102,102,0,0,0,102,0
9864,40.6278,3,1,1,2720,243,243,243,0,0,0,243,0
16519,80.1485,3,1,1,4500,442,442,442,0,0,0,442,0
4390,232.5559,3,1,1,2125,117,117,117,0,0,0,117,0
16182,67.0901,3,1,1,4250,374,374,374,0,0,0,374,0
3856,144.3821,3,1,1,1800,93,93,93,0,0,0,93,0
16504,74.3811,3,1,1,1360,289,289,289,0,0,0,289,0
788,77.3782,3,1,1,1800,34,34,34,0,0,0,34,0
6536,39.4801,3,1,1,2125,135,135,135,0,0,0,135,0
11127,59.8875,3,1,1,4500,302,302,302,0,0,0,302,0
9380,43.5275,3,1,1,1800,180,180,180,0,0,0,180,0
14489,58.7242,3,1,1,4250,306,306,306,0,0,0,306,0
14631,59.7137,3,1,1,4250,370,370,370,0,0,0,370,0
14017,66.7263,3,1,1,4500,288,288,288,0,0,0,288,0
12487,70.3975,3,1,1,2250,252,252,252,0,0,0,252,0
19627,56.8398,3,1,1,4500,470,470,470,0,0,0,470,0
13546,91.4059,3,1,1,1800,302,302,302,0,0,0,302,0
33047,48.8898,3,1,1,4250,676,676,676,0,0,0,676,0
29296,46.8772,3,1,1,3600,633,633,633,0,0,0,633,0
8735,32.3989,3,1,1,1800,198,198,198,0,0,0,198,0
8137,47.032,3,1,1,2720,197,197,197,0,0,0,197,0
11431,64.7033,3,1,1,2125,204,204,204,0,0,0,204,0
4820,52.9753,3,1,1,2176,67,67,67,0,0,0,67,0
3431,62.9315,3,1,1,1800,123,123,123,0,0,0,123,0
5224,50.1953,3,1,1,2125,159,159,159,0,0,0,159,0
