estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries
112061,1,1,4800,429,429,429,242,158,20,9,0
121597,1,1,5401,160,160,160,90,56,9,5,0
107984,1,1,4800,591,591,591,364,218,0,9,0
77509,1,1,15880,957,957,957,762,36,143,16,0
53617,1,1,91609,2308,2308,2308,350,1265,625,68,0
65545,1,1,2016,342,342,342,123,180,36,3,0
104692,1,1,7656,942,942,942,629,277,30,6,0
90599,1,1,4896,929,929,929,631,236,59,3,0
104795,1,1,7656,710,710,710,374,294,36,6,0
84829,1,1,5497,188,188,188,150,14,21,3,0
98568,1,1,8353,241,241,241,210,14,12,5,0
58516,1,1,91364,3277,3277,3277,357,1417,1452,51,0
48495,1,1,5401,132,132,132,90,35,6,1,0
43781,1,1,16651,223,223,223,4,23,186,10,0
46966,1,1,739,736,736,736,670,24,39,3,0
73261,1,1,20206,1714,1714,1714,4,1421,289,0,0
93085,1,1,1393,77,77,77,60,0,12,5,0
102587,1,1,7752,876,876,876,830,0,40,6,0
87069,1,1,7752,993,993,993,750,186,54,3,0
48699,1,1,946,945,945,945,672,254,16,3,0
124096,1,1,4800,690,690,690,374,278,29,9,0
95542,1,1,7656,917,917,917,600,293,18,6,0
53460,1,1,89374,2276,2276,2276,307,1276,625,68,0
138027,1,1,4849,200,200,200,150,28,15,7,0
74843,1,1,4849,98,98,98,90,0,3,5,0
53646,1,1,94101,2358,2358,2358,329,1359,602,68,0
114116,1,1,7656,945,945,945,601,293,45,6,0
110684,1,1,1368,79,79,79,0,40,30,9,0
148354,1,1,7656,988,988,988,809,146,23,10,0
144927,1,1,7752,825,825,825,633,126,58,8,0
99502,1,1,4849,105,105,105,90,7,3,5,0
21296,1,1,8353,285,285,285,240,42,3,0,0
48550,1,1,946,940,940,940,667,254,16,3,0
114530,1,1,16364,2225,2225,2225,1976,50,182,17,0
142399,1,1,18956,3773,3773,3773,1677,2073,6,17,0
54260,1,1,95131,2427,2427,2427,339,1418,602,68,0
54445,1,1,90235,2471,2471,2471,329,1253,825,64,0
47499,1,1,883,878,878,878,608,260,6,4,0
55320,1,1,89597,2593,2593,2593,302,1425,802,64,0
144506,1,1,1368,212,212,212,69,102,31,10,0
109629,1,1,8353,280,280,280,210,49,18,3,0
112397,1,1,4800,394,394,394,123,253,9,9,0
98963,1,1,15815,2384,2384,2384,2219,9,140,16,0
137348,1,1,4800,659,659,659,370,262,17,10,0
48533,1,1,973,966,966,966,666,254,46,0,0
137547,1,1,2617,119,119,119,60,35,18,6,0
112324,1,1,16149,2429,2429,2429,2210,40,162,17,0
132365,1,1,2065,104,104,104,60,21,18,5,0
112979,1,1,2016,439,439,439,123,256,54,6,0
51744,1,1,14650,2264,2264,2264,14,1580,602,68,0
42248,1,1,5401,174,174,174,150,21,0,3,0
108093,1,1,19883,2874,2874,2874,906,1922,30,16,0
54505,1,1,93685,2458,2458,2458,322,1247,825,64,0
142910,1,1,4849,187,187,187,150,21,9,7,0
54077,1,1,88630,2437,2437,2437,336,1212,825,64,0
76686,1,1,4849,135,135,135,120,7,3,5,0
43587,1,1,6724,1141,1141,1141,13,284,776,68,0
144424,1,1,1920,309,309,309,69,200,30,10,0
62801,1,1,15682,671,671,671,512,30,113,16,0
59645,1,1,19770,1340,1340,1340,6,1317,2,15,0
97152,1,1,4968,616,616,616,374,160,79,3,0
48782,1,1,973,969,969,969,669,254,46,0,0
125722,1,1,8257,230,230,230,210,0,15,5,0
48853,1,1,937,931,931,931,667,254,6,4,0
47055,1,1,730,725,725,725,668,24,29,4,0
95578,1,1,4968,579,579,579,378,119,79,3,0
108224,1,1,7752,945,945,945,612,291,36,6,0
78474,1,1,8257,257,257,257,210,42,0,5,0
113413,1,1,4800,534,534,534,254,220,54,6,0
