estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries
156610,0.0859,-1,1,1,3,3,3,3,1,0,1,1,0
151101,0.0912,-1,1,1,16,16,16,16,5,4,3,4,0
156757,0.0183,-1,1,1,3,3,3,3,1,0,1,1,0
156475,0.0188,-1,1,1,4,4,4,4,1,2,0,1,0
156678,0.0182,-1,1,1,4,4,4,4,1,2,0,1,0
152382,0.1013,-1,1,1,21,21,21,21,6,4,8,3,0
156540,0.0203,-1,1,1,5,5,5,5,1,2,2,0,0
151901,0.044,-1,1,1,13,13,13,13,1,5,3,4,0
150368,0.0438,-1,1,1,12,12,12,12,0,5,3,4,0
152031,0.0809,-1,1,1,17,17,17,17,6,4,3,4,0
153153,0.1584,-1,1,1,34,34,34,34,8,4,5,17,0
151633,0.0692,-1,1,1,16,16,16,16,5,4,3,4,0
150588,0.0586,-1,1,1,13,13,13,13,1,5,3,4,0
151968,0.0733,-1,1,1,20,20,20,20,5,4,8,3,0
156768,0.015,-1,1,1,3,3,3,3,1,0,1,1,0
150922,0.0492,-1,1,1,17,17,17,17,6,4,3,4,0
156451,0.0234,-1,1,1,5,5,5,5,1,2,2,0,0
152227,0.073,-1,1,1,17,17,17,17,6,4,3,4,0
150735,0.0682,-1,1,1,16,16,16,16,5,4,3,4,0
153504,0.2112,-1,1,1,49,49,49,49,5,14,14,16,0
153594,0.138,-1,1,1,43,43,43,43,8,14,4,17,0
150908,0.1039,-1,1,1,21,21,21,21,6,4,8,3,0
152242,0.0849,-1,1,1,21,21,21,21,6,4,8,3,0
151939,0.1316,-1,1,1,33,33,33,33,7,4,15,6,1
151928,0.0313,-1,1,1,17,17,17,17,1,5,8,3,0
151436,0.0391,-1,1,1,9,9,9,9,1,0,4,4,0
156896,0.0142,-1,1,1,3,3,3,3,1,0,1,1,0
151871,0.0486,-1,1,1,13,13,13,13,1,5,3,4,0
151579,0.0492,-1,1,1,13,13,13,13,1,5,3,4,0
156757,0.014,-1,1,1,3,3,3,3,1,0,1,1,0
152144,0.0657,-1,1,1,17,17,17,17,6,4,3,4,0
150821,0.0672,-1,1,1,17,17,17,17,6,4,3,4,0
151886,0.0807,-1,1,1,25,25,25,25,8,4,5,7,1
152061,0.0581,-1,1,1,17,17,17,17,6,4,3,4,0
151013,0.0669,-1,1,1,17,17,17,17,6,4,3,4,0
156512,0.0133,-1,1,1,3,3,3,3,1,0,1,1,0
153038,0.1357,-1,1,1,41,41,41,41,6,4,15,16,0
156768,0.0105,-1,1,1,3,3,3,3,1,0,1,1,0
150349,0.0482,-1,1,1,12,12,12,12,0,5,3,4,0
151307,0.0772,-1,1,1,20,20,20,20,5,4,8,3,0
150782,0.0713,-1,1,1,20,20,20,20,5,4,8,3,0
150688,0.0511,-1,1,1,16,16,16,16,5,4,3,4,0
152072,0.075,-1,1,1,20,20,20,20,5,4,8,3,0
156757,0.0112,-1,1,1,3,3,3,3,1,0,1,1,0
156768,0.0078,-1,1,1,3,3,3,3,1,0,1,1,0
152031,0.0561,-1,1,1,17,17,17,17,6,4,3,4,0
156610,0.0104,-1,1,1,3,3,3,3,1,0,1,1,0
151055,0.0821,-1,1,1,21,21,21,21,6,4,8,3,0
152019,0.0489,-1,1,1,20,20,20,20,5,4,8,3,0
150607,0.0688,-1,1,1,16,16,16,16,5,4,3,4,0
152385,0.0933,-1,1,1,21,21,21,21,6,4,8,3,0
156610,0.0096,-1,1,1,3,3,3,3,1,0,1,1,0
152275,0.0554,-1,1,1,17,17,17,17,6,4,3,4,0
153771,0.1473,-1,1,1,34,34,34,34,8,14,4,7,1
150576,0.0546,-1,1,1,13,13,13,13,1,5,3,4,0
156678,0.0163,-1,1,1,4,4,4,4,1,2,0,1,0
150238,0.03,-1,1,1,12,12,12,12,0,5,3,4,0
156540,0.0179,-1,1,1,5,5,5,5,1,2,2,0,0
152017,0.0628,-1,1,1,17,17,17,17,6,4,3,4,0
151944,0.0633,-1,1,1,17,17,17,17,1,5,8,3,0
153625,0.1764,-1,1,1,52,52,52,52,8,14,14,16,0
153517,0.121,-1,1,1,32,32,32,32,6,14,4,7,1
150865,0.0622,-1,1,1,17,17,17,17,6,4,3,4,0
152263,0.0578,-1,1,1,21,21,21,21,6,4,8,3,0
156610,0.0092,-1,1,1,3,3,3,3,1,0,1,1,0
153566,0.1295,-1,1,1,34,34,34,34,8,4,15,6,1
151259,0.0609,-1,1,1,17,17,17,17,1,5,8,3,0
152797,0.0708,-1,1,1,20,20,20,20,3,4,5,7,1
150673,0.0551,-1,1,1,16,16,16,16,5,4,3,4,0
150362,0.03,-1,1,1,12,12,12,12,0,5,3,4,0
150799,0.0386,-1,1,1,13,13,13,13,1,5,3,4,0
150546,0.0859,-1,1,1,13,13,13,13,1,5,3,4,0
156637,0.0159,-1,1,1,4,4,4,4,1,2,0,1,0
150501,0.0584,-1,1,1,16,16,16,16,5,4,3,4,0
151602,0.0748,-1,1,1,21,21,21,21,6,4,8,3,0
153545,0.1524,-1,1,1,43,43,43,43,8,4,15,16,0
150883,0.0631,-1,1,1,17,17,17,17,6,4,3,4,0
150846,0.0617,-1,1,1,17,17,17,17,6,4,3,4,0
156678,0.0117,-1,1,1,4,4,4,4,1,2,0,1,0
