estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries
26220,59.3472,3,1,1,425,153,153,153,0,0,0,153,0
32639,46.6139,3,1,1,425,204,204,204,0,0,0,204,0
41760,40.6827,3,1,1,450,234,234,234,0,0,0,234,0
24261,40.2629,3,1,1,340,153,153,153,0,0,0,153,0
25567,38.1454,3,1,1,450,162,162,162,0,0,0,162,0
25577,35.5834,3,1,1,450,162,162,162,0,0,0,162,0
27561,36.835,3,1,1,450,162,162,162,0,0,0,162,0
36787,36.4969,3,1,1,450,216,216,216,0,0,0,216,0
10032,35.0592,3,1,1,450,54,54,54,0,0,0,54,0
27825,35.3223,3,1,1,450,162,162,162,0,0,0,162,0
32802,35.4392,3,1,1,340,187,187,187,0,0,0,187,0
749,35.0987,3,1,1,340,17,17,17,0,0,0,17,0
25730,34.6326,3,1,1,450,162,162,162,0,0,0,162,0
31519,35.3183,3,1,1,340,187,187,187,0,0,0,187,0
25476,37.2339,3,1,1,360,162,162,162,0,0,0,162,0
32527,36.3986,3,1,1,425,204,204,204,0,0,0,204,0
16650,34.8662,3,1,1,450,108,108,108,0,0,0,108,0
24131,34.1848,3,1,1,340,153,153,153,0,0,0,153,0
9460,34.1915,3,1,1,425,51,51,51,0,0,0,51,0
27842,35.0086,3,1,1,288,162,162,162,0,0,0,162,0
33894,35.9505,3,1,1,450,216,216,216,0,0,0,216,0
23517,35.5241,3,1,1,340,153,153,153,0,0,0,153,0
39723,34.3168,3,1,1,201,105,105,105,0,0,0,104,1
32698,35.1214,3,1,1,425,204,204,204,0,0,0,204,0
32645,37.2137,3,1,1,425,204,204,204,0,0,0,204,0
24911,38.2766,3,1,1,450,162,162,162,0,0,0,162,0
18830,41.1784,3,1,1,360,108,108,108,0,0,0,108,0
7288,39.4986,3,1,1,340,51,51,51,0,0,0,51,0
34657,37.9293,3,1,1,360,198,198,198,0,0,0,198,0
16644,36.3038,3,1,1,450,108,108,108,0,0,0,108,0
10021,156.0252,3,1,1,450,54,54,54,0,0,0,54,0
25470,105.9781,3,1,1,450,162,162,162,0,0,0,162,0
27199,55.6178,3,1,1,450,162,162,162,0,0,0,162,0
27635,49.0727,3,1,1,450,162,162,162,0,0,0,162,0
9469,41.893,3,1,1,425,51,51,51,0,0,0,51,0
34379,44.1801,3,1,1,450,216,216,216,0,0,0,216,0
16798,40.3983,3,1,1,450,108,108,108,0,0,0,108,0
36532,38.485,3,1,1,450,216,216,216,0,0,0,216,0
25584,39.7146,3,1,1,450,162,162,162,0,0,0,162,0
32697,35.8123,3,1,1,340,187,187,187,0,0,0,187,0
27591,38.6154,3,1,1,450,162,162,162,0,0,0,162,0
32873,35.961,3,1,1,340,187,187,187,0,0,0,187,0
19107,36.4659,3,1,1,450,108,108,108,0,0,0,108,0
19035,87.8445,3,1,1,360,108,108,108,0,0,0,108,0
26219,51.0549,3,1,1,425,153,153,153,0,0,0,153,0
32411,43.4218,3,1,1,425,204,204,204,0,0,0,204,0
34490,76.1274,3,1,1,450,216,216,216,0,0,0,216,0
18874,51.4368,3,1,1,450,108,108,108,0,0,0,108,0
39261,46.3513,3,1,1,425,221,221,221,0,0,0,221,0
41483,47.4122,3,1,1,450,234,234,234,0,0,0,234,0
19036,43.2586,3,1,1,360,108,108,108,0,0,0,108,0
34516,44.0946,3,1,1,450,216,216,216,0,0,0,216,0
7751,43.7751,3,1,1,450,54,54,54,0,0,0,54,0
25351,43.8248,3,1,1,450,162,162,162,0,0,0,162,0
33681,43.0384,3,1,1,360,198,198,198,0,0,0,198,0
24236,42.9993,3,1,1,340,153,153,153,0,0,0,153,0
16657,42.32,3,1,1,450,108,108,108,0,0,0,108,0
41596,47.1451,3,1,1,450,234,234,234,0,0,0,234,0
7356,44.0244,3,1,1,340,51,51,51,0,0,0,51,0
39185,43.9796,3,1,1,425,221,221,221,0,0,0,221,0
27852,44.9446,3,1,1,360,162,162,162,0,0,0,162,0
25494,43.2681,3,1,1,450,162,162,162,0,0,0,162,0
7392,44.4867,3,1,1,340,51,51,51,0,0,0,51,0
27777,44.3452,3,1,1,288,162,162,162,0,0,0,162,0
36605,42.2889,3,1,1,450,216,216,216,0,0,0,216,0
40744,47.1254,3,1,1,450,234,234,234,0,0,0,234,0
31742,43.216,3,1,1,340,187,187,187,0,0,0,187,0
31841,45.4121,3,1,1,425,204,204,204,0,0,0,204,0
25701,44.956,3,1,1,360,162,162,162,0,0,0,162,0
24220,43.1927,3,1,1,425,153,153,153,0,0,0,153,0
36413,42.8458,3,1,1,176,92,92,92,0,0,0,91,1
24305,41.7383,3,1,1,425,153,153,153,0,0,0,153,0
18996,45.1944,3,1,1,288,108,108,108,0,0,0,108,0
35550,44.3153,3,1,1,450,216,216,216,0,0,0,216,0
36609,43.743,3,1,1,450,216,216,216,0,0,0,216,0
31645,45.4728,3,1,1,340,187,187,187,0,0,0,187,0
33997,45.6587,3,1,1,450,216,216,216,0,0,0,216,0
17760,43.1412,3,1,1,425,102,102,102,0,0,0,102,0
34474,45.2653,3,1,1,450,216,216,216,0,0,0,216,0
24152,44.3754,3,1,1,425,153,153,153,0,0,0,153,0
34521,48.7837,3,1,1,425,204,204,204,0,0,0,204,0
32521,48.1065,3,1,1,425,204,204,204,0,0,0,204,0
33519,43.8069,3,1,1,360,198,198,198,0,0,0,198,0
9813,44.881,3,1,1,360,54,54,54,0,0,0,54,0
39490,44.5558,3,1,1,201,105,105,105,0,0,0,104,1
34196,45.3417,3,1,1,425,204,204,204,0,0,0,204,0
26268,43.1318,3,1,1,425,153,153,153,0,0,0,153,0
34742,42.9528,3,1,1,425,204,204,204,0,0,0,204,0
23983,46.2131,3,1,1,425,153,153,153,0,0,0,153,0
33544,43.1183,3,1,1,360,198,198,198,0,0,0,198,0
38680,46.3731,3,1,1,425,221,221,221,0,0,0,221,0
17841,46.1869,3,1,1,425,102,102,102,0,0,0,102,0
16625,43.602,3,1,1,450,108,108,108,0,0,0,108,0
18879,43.6688,3,1,1,360,108,108,108,0,0,0,108,0
18819,43.5305,3,1,1,360,108,108,108,0,0,0,108,0
25743,234.1386,3,1,1,360,162,162,162,0,0,0,162,0
34497,58.8798,3,1,1,450,216,216,216,0,0,0,216,0
33696,51.5215,3,1,1,360,198,198,198,0,0,0,198,0
31707,44.0233,3,1,1,340,187,187,187,0,0,0,187,0
25710,42.1736,3,1,1,450,162,162,162,0,0,0,162,0
41633,39.7696,3,1,1,450,234,234,234,0,0,0,234,0
41777,38.9886,3,1,1,450,234,234,234,0,0,0,234,0
24146,37.6879,3,1,1,272,153,153,153,0,0,0,153,0
16781,36.8029,3,1,1,288,108,108,108,0,0,0,108,0
15833,35.1378,3,1,1,340,102,102,102,0,0,0,102,0
16632,34.314,3,1,1,360,108,108,108,0,0,0,108,0
31306,36.4205,3,1,1,340,187,187,187,0,0,0,187,0
34497,37.3263,3,1,1,450,216,216,216,0,0,0,216,0
1929,36.6408,3,1,1,360,18,18,18,0,0,0,18,0
36652,37.1202,3,1,1,450,216,216,216,0,0,0,216,0
33143,37.5653,3,1,1,360,198,198,198,0,0,0,198,0
39428,35.7271,3,1,1,425,221,221,221,0,0,0,221,0
32135,35.7587,3,1,1,425,204,204,204,0,0,0,204,0
36372,34.1371,3,1,1,450,216,216,216,0,0,0,216,0
15743,34.0124,3,1,1,272,102,102,102,0,0,0,102,0
34567,33.5339,3,1,1,450,216,216,216,0,0,0,216,0
30706,37.5326,3,1,1,272,170,170,170,0,0,0,170,0
36565,35.4199,3,1,1,450,216,216,216,0,0,0,216,0
36261,35.313,3,1,1,450,216,216,216,0,0,0,216,0
32854,35.3334,3,1,1,360,198,198,198,0,0,0,198,0
18819,34.4362,3,1,1,450,108,108,108,0,0,0,108,0
17850,35.0071,3,1,1,340,102,102,102,0,0,0,102,0
32616,35.9397,3,1,1,425,204,204,204,0,0,0,204,0
24095,37.9877,3,1,1,425,153,153,153,0,0,0,153,0
31830,236.8918,3,1,1,340,187,187,187,0,0,0,187,0
39477,73.922,3,1,1,425,221,221,221,0,0,0,221,0
34175,54.9512,3,1,1,425,204,204,204,0,0,0,204,0
25258,49.7443,3,1,1,360,162,162,162,0,0,0,162,0
17783,45.1074,3,1,1,340,102,102,102,0,0,0,102,0
15737,43.3547,3,1,1,425,102,102,102,0,0,0,102,0
38764,42.6184,3,1,1,425,221,221,221,0,0,0,221,0
39175,38.7894,3,1,1,425,221,221,221,0,0,0,221,0
9990,37.9563,3,1,1,450,54,54,54,0,0,0,54,0
41578,36.8798,3,1,1,450,234,234,234,0,0,0,234,0
