estimates,runtime,case
137675,1414.5444,2
132175,1228.753,2
130076,1410.8535,2
153147,1574.1311,2
163690,1543.914,2
48690,1248.1294,2
35130,1972.3419,2
178557,1670.0135,2
79990,1318.721,2
147001,1545.6288,2
35276,2200.9355,2
135522,1296.3357,2
35621,1796.9471,2
166805,1446.1219,2
168180,1515.2702,2
175661,1746.5785,2
148176,1583.1452,2
147201,1517.6273,2
138117,1299.5925,2
85119,935.4935,2
122392,1388.9447,2
137273,1261.8772,2
22889,1390.9091,2
22150,3089.4273,2
102538,1203.4682,2
164292,2198.1553,2
531549,3051.2692,2
174286,1538.7945,2
137962,1515.7428,2
39348,1909.7802,2
146932,1397.952,2
119257,1338.4878,2
120639,1326.3874,2
84911,927.624,2
20450,1478.8061,2
26374,2106.0151,2
32610,2110.3816,2
283797,3242.2587,2
160757,2201.228,2
169322,1884.0965,2
145847,1305.224,2
138592,1356.1331,2
168583,1567.1085,2
149622,1524.5234,2
181274,2249.3311,2
138494,1230.2903,2
347202,2354.674,2
131695,1357.7868,2
172668,2168.5986,2
36430,1372.376,2
133015,1482.3156,2
28013,1640.2841,2
136727,1281.7202,2
149406,1423.2957,2
149496,1378.6556,2
135783,1356.8265,2
163603,1688.3132,2
172460,1352.7684,2
129199,1126.3992,2
31767,1592.156,2
137197,1216.5757,2
85597,858.8591,2
137575,1359.096,2
127071,1392.7632,2
154597,1363.8892,2
155687,1555.5442,2
127502,1356.2354,2
158840,1531.587,2
142182,1366.3844,2
202362,2227.1907,2
130692,1235.2184,2
145352,1525.6341,2
87405,920.1932,2
145728,1292.7355,2
139284,1238.9519,2
57076,563.4943,2
128155,1053.0451,2
162796,1655.2653,2
140062,2681.9913,2
143410,1420.6303,2
35766,1978.5399,2
164944,1585.2596,2
95116,1177.834,2
127375,1462.1692,2
17471,2324.5326,2
150401,1478.7577,2
146802,1374.6829,2
155593,1594.2315,2
140026,1419.8651,2
169992,1584.0257,2
63051,717.7785,2
134246,1486.0759,2
157965,1542.5445,2
22048,2090.8854,2
31946,2244.9976,2
174444,1382.9396,2
32799,1911.1534,2
152465,1504.9974,2
137376,1429.0345,2
128684,1428.0362,2
114850,1238.6193,2
124793,1071.3731,2
117693,1227.2262,2
184938,1571.7222,2
20313,2823.6954,2
120449,1459.3028,2
151166,1520.7357,2
127029,1117.5862,2
21437,1551.8581,2
141358,1492.0835,2
37334,1844.7523,2
153027,1396.7088,2
117596,1310.4163,2
144709,1390.066,2
126141,1281.7617,2
85630,892.1149,2
31232,1539.9916,2
175917,2512.4696,2
111416,973.1194,2
110077,1186.0508,2
141987,1643.9662,2
129330,1217.8549,2
138096,1396.0531,2
150324,1555.1038,2
131720,1347.4315,2
28392,1455.1924,2
142083,1348.7186,2
26306,1708.9455,2
116217,1692.1626,2
41135,1896.2023,2
29594,1546.4295,2
122050,1485.7636,2
109542,1127.8794,2
170196,1713.7427,2
135090,1453.3142,2
161850,1735.7972,2
163494,1490.1346,2
111072,1028.4129,2
154947,1380.243,2
133956,1438.906,2
115526,1489.6876,2
150718,1391.6718,2
159085,1523.9812,2
149336,1271.2807,2
30763,1615.6394,2
138482,1450.0675,2
154783,1470.0096,2
98379,1091.7513,2
133715,1128.016,2
106376,1183.2478,2
128407,1407.8832,2
158527,1600.2486,2
35519,2023.694,2
54427,1742.6283,2
183235,2171.4903,2
117326,1180.4634,2
131843,1190.2231,2
121497,1087.5749,2
194633,1616.8618,2
137408,1493.6699,2
115515,1226.6321,2
160590,1439.4283,2
137443,1328.0996,2
171773,1459.5767,2
166614,1606.7486,2
31917,2119.898,2
33487,2106.1184,2
36108,2019.2947,2
154312,1475.4683,2
140824,1353.1589,2
187606,2046.3374,2
150781,1413.1133,2
31486,2261.8677,2
139925,1400.3234,2
32629,2298.8593,2
236858,2455.7593,2
29321,1975.4627,2
95611,960.8588,2
252988,2630.0145,2
162958,1526.5395,2
132195,1423.316,2
40574,1453.6541,2
144777,1548.3329,2
132294,1272.7067,2
34867,874.4272,2
140062,1486.2827,2
164073,1483.9525,2
82645,1024.2623,2
127451,1245.8628,2
142851,1408.0197,2
23490,1602.8442,2
126555,945.9303,2
120884,1269.4325,2
189391,2167.3913,2
104468,1179.1002,2
47092,1639.974,2
153779,1511.2853,2
39955,1740.4585,2
149371,2017.042,2
126121,1946.5596,2
