estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries
44051,3.2146,-1,1,1,883,882,882,581,312,259,6,4,0
5939,0.1462,-1,1,1,17,17,17,9,3,4,0,2,0
111800,3.1823,-1,1,1,5401,179,179,179,120,42,12,5,0
101100,4.1451,-1,1,1,919,917,917,917,611,260,46,0,0
30168,2.3159,-1,1,1,649,644,644,351,315,0,32,4,0
156446,0.0929,-1,1,1,4,4,4,4,1,2,0,1,0
151960,0.0664,-1,1,1,9,9,9,9,1,0,4,4,0
152204,0.1043,-1,1,1,17,17,17,17,6,4,3,4,0
43492,0.037,-1,1,1,1,1,1,1,0,0,0,0,1
21262,0.0166,-1,1,1,1,1,1,1,0,0,0,0,1
85608,0.0155,-1,1,1,1,1,1,1,0,0,0,0,1
9595,0.4438,-1,54,36,5,5,180,144,28,57,59,0,0
88081,6.6568,-1,7,7,5497,702,4914,867,102,429,294,42,0
22238,0.2161,-1,1,1,17,17,17,17,6,4,3,4,0
152264,2.3879,-1,1,1,2521,256,256,256,42,181,23,10,0
174241,19.5349,-1,1,1,30107,2677,2677,2677,72,1739,802,64,0
18389,0.3077,-1,1,1,13,13,13,9,1,4,0,4,0
158540,44.4059,-1,1,1,108781,2299,2299,2299,354,1252,625,68,0
101815,3.7994,-1,1,1,919,917,917,917,611,260,46,0,0
157678,2.8526,-1,1,1,5401,164,164,164,120,28,9,7,0
44975,0.3182,-1,21,7,17,17,119,56,28,0,14,14,0
90996,11.9943,-1,1,1,16319,2451,2451,1171,946,27,182,16,0
38145,3.1461,-1,378,252,9,9,2268,955,29,0,439,487,0
151429,0.0917,-1,1,1,9,9,9,9,1,0,4,4,0
43946,4.5683,-1,1,1,8257,240,240,240,210,21,9,0,0
29640,4.513,-1,1,1,8353,215,215,169,134,14,15,6,0
44951,3.4274,-1,1,1,937,933,933,598,334,254,6,4,0
46856,3.2319,-1,1,1,973,971,971,636,336,254,46,0,0
47380,3.8973,-1,7,7,5401,127,889,386,274,49,42,21,0
42892,0.0882,-1,3,1,1,1,1,1,0,0,0,0,1
103758,3.639,-1,1,1,937,931,931,931,667,254,6,4,0
357386,19.6865,-1,1,1,20134,4186,4186,4186,2016,1836,334,0,0
224378,11.9106,-1,1,1,16481,2271,2271,2271,2071,4,183,13,0
105650,3.1154,-1,1,1,973,969,969,969,669,254,46,0,0
34467,3.449,-1,1,1,8257,281,281,218,177,28,6,7,0
430121,63.6996,-1,7,7,112969,3318,23226,10056,347,1156,8217,336,0
14429,6.7051,-1,1,1,15352,304,304,169,70,7,78,14,0
138779,2.5344,-1,1,1,5497,104,104,104,60,21,18,5,0
22060,0.1106,-1,1,1,13,13,13,13,1,5,3,4,0
32671,38.4493,3,1,1,425,204,204,204,0,0,0,204,0
218796,13.383,-1,1,1,16712,2314,2314,2314,2073,40,190,11,0
21088,0.1708,-1,3,3,13,13,39,31,2,12,8,9,0
152019,0.0738,-1,1,1,17,17,17,17,6,4,3,4,0
156678,0.0252,-1,1,1,4,4,4,4,1,2,0,1,0
80346,11.4134,-1,1,1,25097,1051,1051,1051,111,72,800,68,0
27752,38.5746,3,1,1,450,162,162,162,0,0,0,162,0
337058,18.0991,-1,1,1,19497,3815,3815,3815,1481,2307,10,17,0
362762,17.6603,-1,1,1,19564,4165,4165,4165,1626,2189,350,0,0
14781,1.8102,-1,1,1,4849,100,100,79,39,21,18,1,0
151588,0.1007,-1,1,1,17,17,17,17,6,4,3,4,0
92035,2.2374,-1,1,1,730,727,727,727,670,24,29,4,0
153559,0.1832,-1,1,1,42,42,42,42,6,5,15,16,0
5724,0.1809,-1,3,1,17,17,17,7,2,2,1,2,0
32230,1.6532,-1,1,1,676,673,673,384,321,30,29,4,0
22014,0.0907,-1,1,1,13,13,13,13,1,5,3,4,0
153035,0.0969,-1,1,1,22,22,22,22,4,5,5,7,1
5917,0.1,-1,1,1,24,24,24,19,1,5,5,7,1
0,0.1218,-1,7,0,17,17,0,0,0,0,0,0,0
326865,19.2422,-1,7,7,16554,2274,15918,4779,3324,59,1319,77,0
159832,168.9295,-1,1,1,102145,2288,2288,2288,359,1236,625,68,0
150812,0.1575,-1,1,1,17,17,17,17,6,4,3,4,0
85856,0.0435,-1,1,1,1,1,1,1,0,0,0,0,1
184006,4.6368,-1,1,1,5401,693,693,693,484,152,48,9,0
186403,4.7422,-1,1,1,5497,720,720,720,482,172,58,8,0
93126,4.0013,-1,1,1,5401,524,524,524,240,254,27,3,0
25009,44.4065,3,1,1,360,162,162,162,0,0,0,162,0
7946,0.8411,-1,54,36,17,17,612,160,21,31,45,63,0
16176,0.1022,-1,1,1,17,17,17,12,4,2,2,4,0
184509,17.5171,-1,1,1,19208,4413,4413,2698,1045,1629,7,17,0
66807,0.3219,-1,7,7,13,13,91,49,7,7,7,28,0
22267,0.2565,-1,1,1,17,17,17,17,6,4,3,4,0
117253,10.3574,-1,21,21,5401,606,12726,1849,58,1686,84,21,0
312335,18.3413,-1,1,1,20126,3772,3772,3772,1299,2125,348,0,0
15568,39.6924,3,1,1,425,102,102,102,0,0,0,102,0
32719,36.737,3,1,1,425,204,204,204,0,0,0,204,0
300414,0.2042,-1,21,7,1,1,7,7,0,0,0,0,7
35247,3.5141,-1,1,1,5401,590,590,282,98,139,36,9,0
110001,3.3025,-1,1,1,8257,196,196,196,150,28,15,3,0
218873,11.0096,-1,1,1,16481,1853,1853,1853,1612,20,205,16,0
39139,3.2966,-1,1,1,5401,675,675,312,117,159,26,10,0
46829,2.7952,-1,1,1,946,937,937,623,351,253,16,3,0
37504,35.8016,-1,1,1,110214,2260,2260,765,67,173,457,68,0
150342,2.1568,-1,1,1,5497,128,128,128,60,42,21,5,0
154668,3.0688,-1,1,1,4849,546,546,546,499,0,38,9,0
22206,0.1077,-1,1,1,17,17,17,17,1,5,8,3,0
27320,35.3682,3,1,1,360,162,162,162,0,0,0,162,0
22222,0.1447,-1,1,1,17,17,17,17,6,4,3,4,0
34612,35.7672,3,1,1,360,198,198,198,0,0,0,198,0
13578,0.1427,-1,3,3,17,17,51,19,4,2,6,7,0
